article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
49300,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/3/39/55_5_5_5_get_the_referense%3F.png/revision/latest?cb=20250411182114,"{""\n\n"": 1}",1
49300,1,EUSI,125,129,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
49300,1,Finality Index,134,148,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
49300,1,FOEI,155,159,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
49300,1,Multiverse,342,352,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverse"": 1}",1
49300,3,[1],95,98,anchor,https://alldimensions.fandom.com#cite_note-:0-1,"{""[1]"": 1}",1
49300,3,[1],95,98,anchor,https://alldimensions.fandom.com#cite_note-:0-1,"{""[1]"": 1}",1
49300,3,[1],95,98,anchor,https://alldimensions.fandom.com#cite_note-:0-1,"{""[1]"": 1}",1
49300,3,[1],95,98,anchor,https://alldimensions.fandom.com#cite_note-:0-1,"{""[1]"": 1}",1
49300,3,[1],95,98,anchor,https://alldimensions.fandom.com#cite_note-:0-1,"{""[1]"": 1}",1
49300,3,universe,244,252,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universe"": 1}",1
49300,3,multiverse,268,278,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""multiverse"": 1}",1
49300,4,OYC,103,106,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
49300,4,OYC,103,106,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
49300,4,human,310,315,internal,https://alldimensions.fandom.com/wiki/Human,"{""human"": 1}",1
49300,7,[2],45,48,anchor,https://alldimensions.fandom.com#cite_note-2,"{""[2]"": 1}",1
49300,9,OYC,44,47,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
49300,14,[3],93,96,anchor,https://alldimensions.fandom.com#cite_note-3,"{""[3]"": 1}",1
49300,45,search for this page title,50,76,internal,https://alldimensions.fandom.com/wiki/Special:Search/%CE%A4he_Unrememberable_Verse,"{""search for this page title"": 1}",1
49300,45,search the related logs,93,116,internal,https://alldimensions.fandom.com/wiki/Special:Log?page=Τhe_Unrememberable_Verse,"{""search the related logs"": 1}",1
