article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
36552,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/5/5d/TheWarehouse.png/revision/latest?cb=20210121034644,"{""\n\n"": 1}",1
36552,1,Unboxed,53,60,internal,https://alldimensions.fandom.com/wiki/Unboxed,"{""Unboxed"": 1}",1
36552,1,Boxial Void,72,83,internal,https://alldimensions.fandom.com/wiki/Boxial_Void,"{""Boxial Void"": 1}",1
36552,1,Cetaverses,91,101,internal,https://alldimensions.fandom.com/wiki/Cetaverse,"{""Cetaverses"": 1}",1
36552,1,Imaginarium,103,114,internal,https://alldimensions.fandom.com/wiki/Imaginarium,"{""Imaginarium"": 1}",1
36552,1,BX-4862,116,123,internal,https://alldimensions.fandom.com/wiki/BX-4862,"{""BX-4862"": 1}",1
36552,1,The Anti-Great-Rhombicosidodecahedron,125,162,internal,https://alldimensions.fandom.com/wiki/The_Anti-Great-Rhombicosidodecahedron,"{""The Anti-Great-Rhombicosidodecahedron"": 1}",1
36552,1,The False Box,164,177,internal,https://alldimensions.fandom.com/wiki/The_False_Box,"{""The False Box"": 1}",1
36552,2,boxial,23,29,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""boxial"": 1}",1
36552,4,existence states,145,161,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""existence states"": 1}",1
36552,5,The Box,29,36,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
36552,6,The Supremum of Chaos,228,249,internal,https://alldimensions.fandom.com/wiki/The_Supremum_of_Chaos,"{""The Supremum of Chaos"": 1}",1
36552,8,Archverses,257,267,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverses"": 1}",1
36552,9,Boxial Void,116,127,internal,https://alldimensions.fandom.com/wiki/Boxial_Void,"{""Boxial Void"": 1}",1
36552,10,User:08dravennew,46,62,internal,https://alldimensions.fandom.com/wiki/User:08dravennew,"{""User:08dravennew"": 1}",1
