article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
40566,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/a/ac/The_Blade.png/revision/latest?cb=20220112184540,"{""\n\n"": 1}",1
40566,1,the Horse Statues,53,70,internal,https://alldimensions.fandom.com/wiki/The_Horse_Statue,"{""the Horse Statues"": 1}",1
40566,1,EUSI,213,217,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
40566,1,Finality Index,351,365,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
40566,1,FOEI,371,375,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
40566,1,The Fields,703,713,internal,https://alldimensions.fandom.com/wiki/The_Fields,"{""The Fields"": 1}",1
40566,1,Uanverses,726,735,internal,https://alldimensions.fandom.com/wiki/Uanverse,"{""Uanverses"": 1}",1
40566,1,the Horse Statues,53,70,internal,https://alldimensions.fandom.com/wiki/The_Horse_Statue,"{""the Horse Statues"": 1}",1
40566,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/c/cb/What_you_see_at_the_edge.png/revision/latest?cb=20220112091853,"{""\n\n"": 1}",1
40566,4,Existence Rank,162,176,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""Existence Rank"": 1}",1
