article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
40740,2,We reached the Earth... again...,83,115,internal,https://alldimensions.fandom.com/wiki/We_reached_the_Earth..._again...,"{""We reached the Earth... again..."": 1}",1
40740,3,Earth,16,21,internal,https://alldimensions.fandom.com/wiki/Earth,"{""Earth"": 1}",1
40740,3,Universe,62,70,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
40740,3,Wikiverse,111,120,internal,https://alldimensions.fandom.com/wiki/Wikiverse,"{""Wikiverse"": 1}",1
40740,3,Googleverse,146,157,internal,https://alldimensions.fandom.com/wiki/Googleverse,"{""Googleverse"": 1}",1
40740,3,Windowsverse,160,172,internal,https://alldimensions.fandom.com/wiki/Windowsverse,"{""Windowsverse"": 1}",1
40740,3,Computerverse,216,229,internal,https://alldimensions.fandom.com/wiki/Computerverse,"{""Computerverse"": 1}",1
40740,5,TOGS,9,13,internal,https://alldimensions.fandom.com/wiki/Transcendent_Omni-God,"{""TOGS"": 1}",1
40740,5,Looptima-543,221,233,internal,https://alldimensions.fandom.com/wiki/Looptimas#Looptima-543,"{""Looptima-543"": 1}",1
40740,9,Windowsverse,63,75,internal,https://alldimensions.fandom.com/wiki/Windowsverse,"{""Windowsverse"": 1}",1
40740,11,Computerverse,19,32,internal,https://alldimensions.fandom.com/wiki/Computerverse,"{""Computerverse"": 1}",1
