article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
40131,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/b/b7/The_looker.png/revision/latest?cb=20211214174803,"{""\n\n"": 1}",1
40131,1,The Fultimatum,69,83,internal,https://alldimensions.fandom.com/wiki/T_h_e_F_u_l_t_i_m_a_t_u_m,"{""The Fultimatum"": 1}",1
40131,1,The Fultimatum,69,83,internal,https://alldimensions.fandom.com/wiki/T_h_e_F_u_l_t_i_m_a_t_u_m,"{""The Fultimatum"": 1}",1
40131,1,T H E F U L T I M A T U M,148,173,internal,https://alldimensions.fandom.com/wiki/T_H_E_F_U_L_T_I_M_A_T_U_M,"{""T H E F U L T I M A T U M"": 1}",1
40131,1,The Qultimatum,186,200,internal,https://alldimensions.fandom.com/wiki/T_h_e_Q_u_l_t_i_m_a_t_u_m,"{""The Qultimatum"": 1}",1
40131,2,The Fultimatum,29,43,internal,https://alldimensions.fandom.com/wiki/T_h_e_F_u_l_t_i_m_a_t_u_m,"{""The Fultimatum"": 1}",1
40131,2,Qultimatums,102,113,internal,https://alldimensions.fandom.com/wiki/T_h_e_Q_u_l_t_i_m_a_t_u_m,"{""Qultimatums"": 1}",1
40131,3,The Fultimatum,108,122,internal,https://alldimensions.fandom.com/wiki/The_Fultimatum,"{""The Fultimatum"": 1}",1
40131,4,Qultimatums,71,82,internal,https://alldimensions.fandom.com/wiki/T_h_e_Q_u_l_t_i_m_a_t_u_m,"{""Qultimatums"": 1}",1
40131,4,The Fultimatum,107,121,internal,https://alldimensions.fandom.com/wiki/The_Fultimatum,"{""The Fultimatum"": 1}",1
40131,10,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/fd/The_lookers_toxic_sustance.png/revision/latest?cb=20211214175951,"{""\n\n"": 1}",1
40131,10,T h e Q u l t i m a t u m,117,142,internal,https://alldimensions.fandom.com/wiki/T_h_e_Q_u_l_t_i_m_a_t_u_m,"{""T h e Q u l t i m a t u m"": 1}",1
40131,10,T h e F u l t i m a t u m,180,205,internal,https://alldimensions.fandom.com/wiki/T_h_e_F_u_l_t_i_m_a_t_u_m,"{""T h e F u l t i m a t u m"": 1}",1
40131,10,The Fultimatum,278,292,internal,https://alldimensions.fandom.com/wiki/T_h_e_F_u_l_t_i_m_a_t_u_m,"{""The Fultimatum"": 1}",1
