article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
21935,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/f2/Triverse.jpg/revision/latest?cb=20170912002343,"{""\n\n"": 1}",1
21935,1,Everything else,51,66,internal,https://alldimensions.fandom.com/wiki/Everything_else,"{""Everything else"": 1}",1
21935,1,Peoplakania,99,110,internal,https://alldimensions.fandom.com/wiki/Peoplakania,"{""Peoplakania"": 1}",1
21935,1,Kceh,112,116,internal,https://alldimensions.fandom.com/wiki/Kceh,"{""Kceh"": 1}",1
21935,1,The dentist,310,321,internal,https://alldimensions.fandom.com/wiki/The_dentist,"{""The dentist"": 1}",1
21935,1,Cceh,384,388,internal,https://alldimensions.fandom.com/wiki/Cceh,"{""Cceh"": 1}",1
21935,1,Oakverse,444,452,internal,https://alldimensions.fandom.com/wiki/Oakverse,"{""Oakverse"": 1}",1
21935,1,hierarchy loop point,609,629,internal,https://alldimensions.fandom.com/wiki/All_dimensions_Wiki,"{""hierarchy loop point"": 1}",1
21935,1,Verseuni,646,654,internal,https://alldimensions.fandom.com/wiki/Verseuni,"{""Verseuni"": 1}",1
21935,1,Scalene,661,668,internal,https://alldimensions.fandom.com/wiki/Scalene,"{""Scalene"": 1}",1
21935,2,Peoplakanias,95,107,internal,https://alldimensions.fandom.com/wiki/Peoplakania,"{""Peoplakanias"": 1}",1
21935,2,Hentexa,135,142,internal,https://alldimensions.fandom.com/wiki/Hentexa,"{""Hentexa"": 1}",1
