article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
49088,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/f1/TreeTagGalaxy.png/revision/latest?cb=20250318230930,"{""\n\n"": 1}",1
49088,1,the,171,174,internal,https://alldimensions.fandom.com/wiki/Our_Multiverse,"{""the"": 1}",1
49088,1,Multiverse,175,185,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverse"": 1}",1
49088,1,our,192,195,internal,https://alldimensions.fandom.com/wiki/Our_Universe,"{""our"": 1}",1
49088,1,Universe,196,204,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
49088,1,Stars,250,255,internal,https://alldimensions.fandom.com/wiki/Star,"{""Stars"": 1}",1
49088,1,black holes,257,268,internal,https://alldimensions.fandom.com/wiki/Black_hole,"{""black holes"": 1}",1
49088,1,planets,270,277,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planets"": 1}",1
49088,3,galaxy,34,40,internal,https://alldimensions.fandom.com/wiki/Galaxy,"{""galaxy"": 1}",1
49088,4,wormhole,148,156,internal,https://alldimensions.fandom.com/wiki/Wormhole,"{""wormhole"": 1}",1
49088,9,our Universe,51,63,internal,https://alldimensions.fandom.com/wiki/Our_Universe,"{""our Universe"": 1}",1
49088,9,life,126,130,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""life"": 1}",1
49088,9,protoverse,199,209,internal,https://alldimensions.fandom.com/wiki/Protoverse,"{""protoverse"": 1}",1
49088,9,civilization,331,343,internal,https://alldimensions.fandom.com/wiki/Category:Civilization,"{""civilization"": 1}",1
49088,10,Universe,117,125,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
49088,10,black hole,320,330,internal,https://alldimensions.fandom.com/wiki/Black_hole,"{""black hole"": 1}",1
49088,10,Milky Way,491,500,internal,https://alldimensions.fandom.com/wiki/Milky_Way,"{""Milky Way"": 1}",1
49088,11,stars,53,58,internal,https://alldimensions.fandom.com/wiki/Star,"{""stars"": 1}",1
49088,12,our,103,106,internal,https://alldimensions.fandom.com/wiki/Our_Multiverse,"{""our"": 1}",1
49088,12,Multiverse,107,117,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverse"": 1}",1
