article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
45378,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/0/02/Universe-expanding-acceleration-1.jpg/revision/latest?cb=20180818180210,"{""\n\n"": 1}",1
45378,1,Our Multiverse,159,173,internal,https://alldimensions.fandom.com/wiki/Our_Multiverse,"{""Our Multiverse"": 1}",1
45378,1,Local Universe Group,175,195,internal,https://alldimensions.fandom.com/wiki/Local_Universe_Group,"{""Local Universe Group"": 1}",1
45378,1,Galaxies,207,215,internal,https://alldimensions.fandom.com/wiki/Galaxy,"{""Galaxies"": 1}",1
45378,1,Turtlies,250,258,internal,https://alldimensions.fandom.com/wiki/Turtlie,"{""Turtlies"": 1}",1
45378,1,MILI-1,261,267,internal,https://alldimensions.fandom.com/wiki/Milliverse/MILI-1,"{""MILI-1"": 1}",1
45378,1,Verse,289,294,internal,https://alldimensions.fandom.com/wiki/Verse,"{""Verse"": 1}",1
45378,3,universe,36,44,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universe"": 1}",1
45378,3,Local Universe Group,112,132,internal,https://alldimensions.fandom.com/wiki/Local_Universe_Group,"{""Local Universe Group"": 1}",1
45378,3,humans,428,434,internal,https://alldimensions.fandom.com/wiki/Human,"{""humans"": 1}",1
45378,4,our Universe,159,171,internal,https://alldimensions.fandom.com/wiki/Our_Universe,"{""our Universe"": 1}",1
45378,4,UNI-3,176,181,internal,https://alldimensions.fandom.com/wiki/UNI-3,"{""UNI-3"": 1}",1
45378,6,Tuhis,123,128,internal,https://alldimensions.fandom.com/wiki/Tuhis,"{""Tuhis"": 1}",1
45378,6,galaxies,222,230,internal,https://alldimensions.fandom.com/wiki/Galaxy,"{""galaxies"": 1}",1
45378,7,MILI-1,49,55,internal,https://alldimensions.fandom.com/wiki/Milliverse/MILI-1,"{""MILI-1"": 1}",1
45378,7,Superclusters,86,99,internal,https://alldimensions.fandom.com/wiki/Supercluster,"{""Superclusters"": 1}",1
45378,7,Milliverses,103,114,internal,https://alldimensions.fandom.com/wiki/Milliverse,"{""Milliverses"": 1}",1
45378,7,Microverses,123,134,internal,https://alldimensions.fandom.com/wiki/Microverse,"{""Microverses"": 1}",1
45378,7,Nanoverses,150,160,internal,https://alldimensions.fandom.com/wiki/Nanoverse,"{""Nanoverses"": 1}",1
