article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
36045,1,Boxes,51,56,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""Boxes"": 1}",1
36045,1,Cetaverse,134,143,internal,https://alldimensions.fandom.com/wiki/Cetaverse,"{""Cetaverse"": 1}",1
36045,1,protons,155,162,internal,https://alldimensions.fandom.com/wiki/Proton,"{""protons"": 1}",1
36045,1,neutrons,167,175,internal,https://alldimensions.fandom.com/wiki/Neutron,"{""neutrons"": 1}",1
36045,2,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/3/35/Unimetaboxverse.jpg/revision/latest?cb=20201209001810,"{""\n\n"": 1}",1
36045,2,The Box,84,91,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
36045,2,Cetaverse,93,102,internal,https://alldimensions.fandom.com/wiki/Cetaverse,"{""Cetaverse"": 1}",1
36045,3,Cetaverses,20,30,internal,https://alldimensions.fandom.com/wiki/Cetaverse,"{""Cetaverses"": 1}",1
36045,4,protons,35,42,internal,https://alldimensions.fandom.com/wiki/Proton,"{""protons"": 1}",1
36045,5,neutrons,35,43,internal,https://alldimensions.fandom.com/wiki/Neutron,"{""neutrons"": 1}",1
36045,6,electrons,35,44,internal,https://alldimensions.fandom.com/wiki/Electron,"{""electrons"": 1}",1
