article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
36611,1,verses,40,46,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verses"": 1}",1
36611,1,EUSI,92,96,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
36611,5,there are things that are much smaller,43,81,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""there are things that are much smaller"": 1}",1
36611,7,Observable Universe,141,160,internal,https://alldimensions.fandom.com/wiki/Observable_Universe,"{""Observable Universe"": 1}",1
36611,7,entire Universes,222,238,internal,https://alldimensions.fandom.com/wiki/Universe,"{""entire Universes"": 1}",1
36611,8,Theranit,11,19,internal,https://alldimensions.fandom.com/wiki/Theranit,"{""Theranit"": 1}",1
36611,10,Harpameter,11,21,internal,https://alldimensions.fandom.com/wiki/Harpameter,"{""Harpameter"": 1}",1
36611,12,Best's Measurements,4,23,internal,https://alldimensions.fandom.com/wiki/Best%27s_Measurements,"{""Best's Measurements"": 1}",1
36611,13,F R I D G E,27,38,internal,https://alldimensions.fandom.com/wiki/F_R_I_D_G_E,"{""F R I D G E"": 1}",1
36611,14,Grand Ultimaverse,25,42,internal,https://alldimensions.fandom.com/wiki/Grand_Ultimaverse,"{""Grand Ultimaverse"": 1}",1
36611,15,square,88,94,internal,https://alldimensions.fandom.com/wiki/Square,"{""square"": 1}",1
36611,15,cube,154,158,internal,https://alldimensions.fandom.com/wiki/Cube,"{""cube"": 1}",1
36611,15,The Box,308,315,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
36611,18,EUSI,11,15,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
36611,23,Finality Index,11,25,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
36611,24,Omniverse,110,119,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
36611,24,The Box,170,177,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
36611,24,4-finality,399,409,internal,https://alldimensions.fandom.com/wiki/The_Flower,"{""4-finality"": 1}",1
36611,24,ω-finality,414,424,internal,https://alldimensions.fandom.com/wiki/The_Portal,"{""ω-finality"": 1}",1
36611,25,Fraction of Everything Index,11,39,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""Fraction of Everything Index"": 1}",1
