article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
48712,2,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/8/84/Verselock_ohio.png/revision/latest?cb=20250215004523,"{""\n\n"": 1}",1
48712,2,The Impercievable Plane,412,435,internal,https://alldimensions.fandom.com/wiki/The_Impercievable_Plane,"{""The Impercievable Plane"": 1}",1
48712,2,Allsphere,447,456,internal,https://alldimensions.fandom.com/wiki/Allsphere,"{""Allsphere"": 1}",1
48712,2,The holder of the darkheart and illumina,459,499,internal,https://alldimensions.fandom.com/wiki/The_holder_of_the_darkheart_and_illumina,"{""The holder of the darkheart and illumina"": 1}",1
48712,2,THE,502,505,internal,https://alldimensions.fandom.com/wiki/THE,"{""THE"": 1}",1
48712,2,"The Truth Seeker, Oblivion",508,534,internal,"https://alldimensions.fandom.com/wiki/The_Truth_Seeker,_Oblivion","{""The Truth Seeker, Oblivion"": 1}",1
48712,2,The Observers,537,550,internal,https://alldimensions.fandom.com/wiki/The_Observers,"{""The Observers"": 1}",1
48712,2,Mutant,584,590,internal,https://alldimensions.fandom.com/wiki/Mutant,"{""Mutant"": 1}",1
48712,2,The Box,593,600,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
48712,2,Finalverse,603,613,internal,https://alldimensions.fandom.com/wiki/Finalverse,"{""Finalverse"": 1}",1
48712,2,The Final Verse.,637,653,internal,https://alldimensions.fandom.com/wiki/The_Final_Verse.,"{""The Final Verse."": 1}",1
48712,3,The Impercievable Plane,0,23,internal,https://alldimensions.fandom.com/wiki/The_Impercievable_Plane,"{""The Impercievable Plane"": 1}",1
48712,13,Allsphere,69,78,internal,https://alldimensions.fandom.com/wiki/Allsphere,"{""Allsphere"": 1}",1
