article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
42451,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/c/c5/Voidtown.jpg/revision/latest?cb=20241216204122,"{""\n\n"": 1}",1
42451,1,everything km,33,46,internal,https://alldimensions.fandom.com/wiki/Everything_numerology,"{""everything km"": 1}",1
42451,1,EUSI,49,53,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
42451,1,Finality Index,74,88,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
42451,1,Deepverses,261,271,internal,https://alldimensions.fandom.com/wiki/Deepverse,"{""Deepverses"": 1}",1
42451,1,the Chicken,303,314,internal,https://alldimensions.fandom.com/wiki/The_Chicken,"{""the Chicken"": 1}",1
42451,1,Warehouses,331,341,internal,https://alldimensions.fandom.com/wiki/Warehouse,"{""Warehouses"": 1}",1
42451,3,god of it,343,352,internal,https://alldimensions.fandom.com/wiki/Nightmare_godity,"{""god of it"": 1}",1
42451,5,darknet's,22,31,internal,https://alldimensions.fandom.com/wiki/Darkent%27s,"{""darknet's"": 1}",1
42451,5,Final'er Containers,76,95,internal,https://alldimensions.fandom.com/wiki/The_Final%27er_Container,"{""Final'er Containers"": 1}",1
42451,5,Warehouses,118,128,internal,https://alldimensions.fandom.com/wiki/Warehouse,"{""Warehouses"": 1}",1
