article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
37388,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/73/XanmeverseV2.jpg/revision/latest?cb=20210325113427,"{""\n\n"": 1}",1
37388,1,Mandelbrothverse,71,87,internal,https://alldimensions.fandom.com/wiki/Mandelbrothverse,"{""Mandelbrothverse"": 1}",1
37388,1,Mandelbrothverses,155,172,internal,https://alldimensions.fandom.com/wiki/Mandelbrothverse,"{""Mandelbrothverses"": 1}",1
37388,1,The Boxials,331,342,internal,https://alldimensions.fandom.com/wiki/The_Boxial,"{""The Boxials"": 1}",1
37388,1,Virtual Omniverses,354,372,internal,https://alldimensions.fandom.com/wiki/Virtual_Omniverse,"{""Virtual Omniverses"": 1}",1
37388,1,Mandelbrothverses,155,172,internal,https://alldimensions.fandom.com/wiki/Mandelbrothverse,"{""Mandelbrothverses"": 1}",1
37388,2,verses,9,15,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verses"": 1}",1
37388,2,laws,76,80,internal,https://alldimensions.fandom.com/wiki/Laws,"{""laws"": 1}",1
37388,2,Mandelbrothverse,310,326,internal,https://alldimensions.fandom.com/wiki/Mandelbrothverse,"{""Mandelbrothverse"": 1}",1
37388,4,exists,65,71,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""exists"": 1}",1
37388,4,Omniverses,12,22,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverses"": 1}",1
37388,4,virtual,4,11,internal,https://alldimensions.fandom.com/wiki/Category:Virtual_Chain,"{""virtual"": 1}",1
37388,4,chain,192,197,internal,https://alldimensions.fandom.com/wiki/Category:Chain,"{""chain"": 1}",1
37388,4,particles,342,351,internal,https://alldimensions.fandom.com/wiki/Category:Particle,"{""particles"": 1}",1
