article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
35929,2,Cosmicialverse,106,120,internal,https://alldimensions.fandom.com/wiki/Cosmicialverse,"{""Cosmicialverse"": 1}",1
35929,3,Cosmicialverse,97,111,internal,https://alldimensions.fandom.com/wiki/Cosmicialverse,"{""Cosmicialverse"": 1}",1
35929,3,OYC,124,127,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
35929,3,Xarponedium,166,177,internal,https://alldimensions.fandom.com/wiki/Xarponedium,"{""Xarponedium"": 1}",1
35929,3,Cagas,206,211,internal,https://alldimensions.fandom.com/wiki/Cagas,"{""Cagas"": 1}",1
35929,4,Cagas,27,32,internal,https://alldimensions.fandom.com/wiki/Cagas,"{""Cagas"": 1}",1
35929,4,Addroptunium,95,107,internal,https://alldimensions.fandom.com/wiki/Addroptunium,"{""Addroptunium"": 1}",1
35929,4,Xarponedium,112,123,internal,https://alldimensions.fandom.com/wiki/Xarponedium,"{""Xarponedium"": 1}",1
35929,11,"

",479,481,external,https://static.wikia.nocookie.net/alldimensions/images/3/3a/Xixxverse.jpg/revision/latest?cb=20201128001509,"{""\n\n"": 1}",1
35929,11,Cosmicialverse,528,542,internal,https://alldimensions.fandom.com/wiki/Cosmicialverse,"{""Cosmicialverse"": 1}",1
