article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
29631,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/f8/Blueprintparticle.png/revision/latest?cb=20200525161448,"{""\n\n"": 1}",1
29631,1,Protoverses,168,179,internal,https://alldimensions.fandom.com/wiki/Protoverse,"{""Protoverses"": 1}",1
29631,1,Primordium Particles,181,201,internal,https://alldimensions.fandom.com/wiki/Category:Primordium_Particle,"{""Primordium Particles"": 1}",1
29631,1,Uqraek fibers,203,216,internal,https://alldimensions.fandom.com/wiki/Uqraek_fiber,"{""Uqraek fibers"": 1}",1
29631,1,Transcendium,218,230,internal,https://alldimensions.fandom.com/wiki/Transcendium,"{""Transcendium"": 1}",1
29631,1,Crescent Transylverses,232,254,internal,https://alldimensions.fandom.com/wiki/Crescent_Transylverse,"{""Crescent Transylverses"": 1}",1
29631,1,the lines,256,265,internal,https://alldimensions.fandom.com/wiki/The_line,"{""the lines"": 1}",1
29631,1,Gayparticles,267,279,internal,https://alldimensions.fandom.com/wiki/User_blog:Fuzzo_the_fuzzy_bee/Gayparticle,"{""Gayparticles"": 1}",1
29631,1,the Suprematisms,281,297,internal,https://alldimensions.fandom.com/wiki/The_Suprematism,"{""the Suprematisms"": 1}",1
29631,1,Blueprint Genes,299,314,internal,https://alldimensions.fandom.com/wiki/Blueprint_Gene,"{""Blueprint Genes"": 1}",1
29631,1,Protoparticles,332,346,internal,https://alldimensions.fandom.com/wiki/Protoparticle,"{""Protoparticles"": 1}",1
29631,1,Archrealities,368,381,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Archrealities"": 1}",1
29631,2,Archreality,64,75,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Archreality"": 1}",1
29631,2,Composition Tier,97,113,internal,https://alldimensions.fandom.com/wiki/Composition_Tier,"{""Composition Tier"": 1}",1
29631,2,•,226,227,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""•"": 1}",1
29631,2,⬤,302,303,internal,https://alldimensions.fandom.com/wiki/%E2%AC%A4,"{""⬤"": 1}",1
29631,2,Archreality,64,75,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Archreality"": 1}",1
29631,3,·,290,291,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·"": 1}",1
29631,3,⬤,296,297,internal,https://alldimensions.fandom.com/wiki/%E2%AC%A4,"{""⬤"": 1}",1
29631,5,Primordium Alpha,130,146,internal,https://alldimensions.fandom.com/wiki/%CE%91_particle,"{""Primordium Alpha"": 1}",1
29631,5,Primordium Delta,177,193,internal,https://alldimensions.fandom.com/wiki/%CE%94_particle,"{""Primordium Delta"": 1}",1
29631,5,Chaos Fabric,221,233,internal,https://alldimensions.fandom.com/wiki/Chaos_Fabric,"{""Chaos Fabric"": 1}",1
29631,6,Dentists,47,55,internal,https://alldimensions.fandom.com/wiki/The_dentist,"{""Dentists"": 1}",1
29631,6,Heck,92,96,internal,https://alldimensions.fandom.com/wiki/Heck,"{""Heck"": 1}",1
29631,7,Primordium Delta,13,29,internal,https://alldimensions.fandom.com/wiki/%CE%94_particle,"{""Primordium Delta"": 1}",1
29631,7,Primordium Alpha,31,47,internal,https://alldimensions.fandom.com/wiki/%CE%91_particle,"{""Primordium Alpha"": 1}",1
29631,9,The Core of Everything,37,59,internal,https://alldimensions.fandom.com/wiki/The_Core_of_Everything,"{""The Core of Everything"": 1}",1
29631,13,subrealites,124,135,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""subrealites"": 1}",1
29631,13,Reality,168,175,internal,https://alldimensions.fandom.com/wiki/Reality,"{""Reality"": 1}",1
29631,13,Subexistions,241,253,internal,https://alldimensions.fandom.com/wiki/Subexistion,"{""Subexistions"": 1}",1
29631,19,page,319,323,internal,https://alldimensions.fandom.com/wiki/User_blog:Galaktor/The_primordial_foam,"{""page"": 1}",1
29631,23,·s,254,256,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·s"": 1}",1
29631,23,⬤,279,280,internal,https://alldimensions.fandom.com/wiki/%E2%AC%A4,"{""⬤"": 1}",1
29631,26,Chaos Fabric,87,99,internal,https://alldimensions.fandom.com/wiki/Chaos_Fabric,"{""Chaos Fabric"": 1}",1
29631,27,Absolutely tinier particles,0,27,internal,https://alldimensions.fandom.com/wiki/Absolutely_tiny_particles,"{""Absolutely tinier particles"": 1}",1
29631,27,Zyoron,31,37,internal,https://alldimensions.fandom.com/wiki/Zyoron,"{""Zyoron"": 1}",1
29631,27,Anti-Concept,41,53,internal,https://alldimensions.fandom.com/wiki/The_Anti-Concept,"{""Anti-Concept"": 1}",1
29631,27,Xeyon,57,62,internal,https://alldimensions.fandom.com/wiki/Xeyon,"{""Xeyon"": 1}",1
29631,27,·,66,67,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·"": 1}",1
29631,27,Primordium Particles,93,113,internal,https://alldimensions.fandom.com/wiki/Category:Primordium_Particle,"{""Primordium Particles"": 1}",1
29631,28,Absolutely Tinier Particles,0,27,internal,https://alldimensions.fandom.com/wiki/Absolutely_tiny_particles,"{""Absolutely Tinier Particles"": 1}",1
29631,28,Periodk,28,35,internal,https://alldimensions.fandom.com/wiki/User_blog:Googleaarex/Periodk,"{""Periodk"": 1}",1
29631,28,.:,39,41,internal,https://alldimensions.fandom.com/wiki/.:,"{"".:"": 1}",1
29631,28,Mandelsok,45,54,internal,https://alldimensions.fandom.com/wiki/Absolutely_tiny_particles,"{""Mandelsok"": 1}",1
29631,28,Thingk,58,64,internal,https://alldimensions.fandom.com/wiki/Thingk,"{""Thingk"": 1}",1
29631,29,Zyoron,21,27,internal,https://alldimensions.fandom.com/wiki/Zyoron,"{""Zyoron"": 1}",1
29631,29,Voidonion,31,40,internal,https://alldimensions.fandom.com/wiki/Voidonion,"{""Voidonion"": 1}",1
29631,29,Omnipocket,44,54,internal,https://alldimensions.fandom.com/wiki/Omnipocket,"{""Omnipocket"": 1}",1
29631,29,Anti-Concept,73,85,internal,https://alldimensions.fandom.com/wiki/The_Anti-Concept,"{""Anti-Concept"": 1}",1
29631,29,Xeyon,100,105,internal,https://alldimensions.fandom.com/wiki/Xeyon,"{""Xeyon"": 1}",1
29631,29,Protoparticle,110,123,internal,https://alldimensions.fandom.com/wiki/Protoparticle,"{""Protoparticle"": 1}",1
29631,30,·,17,18,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·"": 1}",1
29631,30,○,23,24,internal,https://alldimensions.fandom.com/wiki/%E2%97%8B,"{""○"": 1}",1
29631,30,⬤,29,30,internal,https://alldimensions.fandom.com/wiki/%E2%AC%A4,"{""⬤"": 1}",1
29631,30,Subexistion,34,45,internal,https://alldimensions.fandom.com/wiki/Subexistion,"{""Subexistion"": 1}",1
29631,30,Protoverse,71,81,internal,https://alldimensions.fandom.com/wiki/Protoverse,"{""Protoverse"": 1}",1
29631,30,Primordium Particles,83,103,internal,https://alldimensions.fandom.com/wiki/Category:Primordium_Particle,"{""Primordium Particles"": 1}",1
