article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
45725,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/4/40/Otori.jpg/revision/latest?cb=20240323231606,"{""\n\n"": 1}",1
45725,1,this page,372,381,external,https://projectsekai.fandom.com/wiki/Otori_Emu,"{""this page"": 1}",1
45725,1,here,385,389,external,https://www.sekaipedia.org/wiki/Otori_Emu,"{""here"": 1}",1
45725,12,Voidsecond,114,124,internal,https://alldimensions.fandom.com/wiki/Voidsecond,"{""Voidsecond"": 1}",1
45725,14,The True Waterfall,106,124,internal,https://alldimensions.fandom.com/wiki/The_True_Waterfall,"{""The True Waterfall"": 1}",1
45725,21,Alphasm,12,19,internal,https://alldimensions.fandom.com/wiki/Alphasm,"{""Alphasm"": 1}",1
45725,32,Infinty3999,24,35,internal,https://alldimensions.fandom.com/wiki/User:Infinte3999,"{""Infinty3999"": 1}",1
45725,42,Children of space i,12,31,internal,https://alldimensions.fandom.com/wiki/Children_of_space,"{""Children of space i"": 1}",1
45725,42,voidsecond,35,45,internal,https://alldimensions.fandom.com/wiki/Voidsecond,"{""voidsecond"": 1}",1
45725,43,FireWater,12,21,internal,https://alldimensions.fandom.com/wiki/FireWater,"{""FireWater"": 1}",1
45725,44,Eye,12,15,internal,https://alldimensions.fandom.com/wiki/Eye,"{""Eye"": 1}",1
45725,45,The Cosmic Hand,0,15,internal,https://alldimensions.fandom.com/wiki/The_cosmic_hand,"{""The Cosmic Hand"": 1}",1
45725,45,Blueprint Particles,34,53,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particles"": 1}",1
45725,47,Cosmic King,11,22,internal,https://alldimensions.fandom.com/wiki/Cosmic_King,"{""Cosmic King"": 1}",1
45725,49,Ayzyen,0,6,internal,https://alldimensions.fandom.com/wiki/The_Mines_of_Slavery,"{""Ayzyen"": 1}",1
45725,50,The Programmer,0,14,internal,https://alldimensions.fandom.com/wiki/The_Programmer,"{""The Programmer"": 1}",1
45725,51,Alphasm,0,7,internal,https://alldimensions.fandom.com/wiki/Alphasm,"{""Alphasm"": 1}",1
45725,52,Asahina Mafuyu,16,30,external,https://projectsekai.fandom.com/wiki/Asahina_Mafuyu,"{""Asahina Mafuyu"": 1}",1
45725,53,T̴h̵e̸ ̸O̵v̷e̴r̶G̶o̸d̴c̵h̶a̵o̷s̸ ̸M̷o̶s̶a̵s̸a̷u̶r̶u̸s̵,17,71,internal,https://alldimensions.fandom.com/wiki/T%CC%B4h%CC%B5e%CC%B8_%CC%B8O%CC%B5v%CC%B7e%CC%B4r%CC%B6G%CC%B6o%CC%B8d%CC%B4c%CC%B5h%CC%B6a%CC%B5o%CC%B7s%CC%B8_%CC%B8M%CC%B7o%CC%B6s%CC%B6a%CC%B5s%CC%B8a%CC%B7u%CC%B6r%CC%B6u%CC%B8s%CC%B5,"{""T̴h̵e̸ ̸O̵v̷e̴r̶G̶o̸d̴c̵h̶a̵o̷s̸ ̸M̷o̶s̶a̵s̸a̷u̶r̶u̸s̵"": 1}",1
45725,55,Universe,0,8,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
45725,57,Archverse,6,15,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
45725,58,Ommiverse,0,9,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Ommiverse"": 1}",1
45725,58,Terminus,135,143,external,https://fictional-googology.fandom.com/wiki/Terminus,"{""Terminus"": 1}",1
45725,59,The Box,0,7,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
45725,60,The Great Pentagon,0,18,internal,https://alldimensions.fandom.com/wiki/The_Great_Superpentagon,"{""The Great Pentagon"": 1}",1
45725,61,The Drums,0,9,internal,https://alldimensions.fandom.com/wiki/User_blog:CompactStar/The_Drum,"{""The Drums"": 1}",1
45725,62,The True Waterfall,0,18,internal,https://alldimensions.fandom.com/wiki/The_True_Waterfall,"{""The True Waterfall"": 1}",1
45725,63,The Wheel,0,9,internal,https://alldimensions.fandom.com/wiki/The_Wheel,"{""The Wheel"": 1}",1
45725,64,Zthoverse,19,28,internal,https://alldimensions.fandom.com/wiki/Zthoverse,"{""Zthoverse"": 1}",1
45725,65,JTOH's Main Difficulty Chart,44,72,external,https://jtohs-joke-towers.fandom.com/wiki/Main_Difficulty_Chart,"{""JTOH's Main Difficulty Chart"": 1}",1
