article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
13175,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/4/47/Circular_fire_preview.jpg/revision/latest?cb=20190702182807,"{""\n\n"": 1}",1
13175,1,universe,72,80,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universe"": 1}",1
13175,1,FireWater,310,319,internal,https://alldimensions.fandom.com/wiki/FireWater,"{""FireWater"": 1}",1
13175,1,FireWater,310,319,internal,https://alldimensions.fandom.com/wiki/FireWater,"{""FireWater"": 1}",1
13175,1,FireWater,310,319,internal,https://alldimensions.fandom.com/wiki/FireWater,"{""FireWater"": 1}",1
13175,2,FireWater,0,9,internal,https://alldimensions.fandom.com/wiki/FireWater,"{""FireWater"": 1}",1
13175,2,the Entity,45,55,internal,https://alldimensions.fandom.com/wiki/The_Entity,"{""the Entity"": 1}",1
13175,2,Xenontryptophyl,164,179,internal,https://alldimensions.fandom.com/wiki/Xenontryptophyl,"{""Xenontryptophyl"": 1}",1
13175,2,Aquarius,233,241,internal,https://alldimensions.fandom.com/wiki/Aquarius,"{""Aquarius"": 1}",1
13175,3,FireWater,167,176,internal,https://alldimensions.fandom.com/wiki/FireWater,"{""FireWater"": 1}",1
13175,3,Xenontryptophyl,225,240,internal,https://alldimensions.fandom.com/wiki/Xenontryptophyl,"{""Xenontryptophyl"": 1}",1
13175,5,the Entity,144,154,internal,https://alldimensions.fandom.com/wiki/The_Entity,"{""the Entity"": 1}",1
13175,5,the Entity,144,154,internal,https://alldimensions.fandom.com/wiki/The_Entity,"{""the Entity"": 1}",1
13175,5,FireWater,339,348,internal,https://alldimensions.fandom.com/wiki/FireWater,"{""FireWater"": 1}",1
