article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
33423,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/4/4a/Frick.firck.jpg/revision/latest?cb=20200714013348,"{""\n\n"": 1}",1
33423,1,Protoverses of Epicness,45,68,internal,https://alldimensions.fandom.com/wiki/Protoverse_of_Epicness,"{""Protoverses of Epicness"": 1}",1
33423,1,Universes of Greatness,80,102,internal,https://alldimensions.fandom.com/wiki/Universe_of_Greatness,"{""Universes of Greatness"": 1}",1
33423,2,verse,27,32,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verse"": 1}",1
33423,2,Universes of Greatness,87,109,internal,https://alldimensions.fandom.com/wiki/Universe_of_Greatness,"{""Universes of Greatness"": 1}",1
33423,2,voids,168,173,internal,https://alldimensions.fandom.com/wiki/Void,"{""voids"": 1}",1
33423,2,Protoverses of Epicness,465,488,internal,https://alldimensions.fandom.com/wiki/Protoverse_of_Epicness,"{""Protoverses of Epicness"": 1}",1
33423,2,Frickplexes,607,618,internal,https://alldimensions.fandom.com/wiki/Frickplex,"{""Frickplexes"": 1}",1
33423,2,Fricksvilles,667,679,internal,https://alldimensions.fandom.com/wiki/Fricksville,"{""Fricksvilles"": 1}",1
33423,2,entities,822,830,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""entities"": 1}",1
33423,4,Cosmological Recycler,149,170,internal,https://alldimensions.fandom.com/wiki/The_Cosmological_Recycler,"{""Cosmological Recycler"": 1}",1
33423,5,Universe,172,180,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
33423,7,rogue,4,9,internal,https://alldimensions.fandom.com/wiki/Rogue_Planet,"{""rogue"": 1}",1
33423,7,planets,10,17,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planets"": 1}",1
33423,7,earth,90,95,internal,https://alldimensions.fandom.com/wiki/Earth,"{""earth"": 1}",1
