article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
39488,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/5/51/Giftcat.png/revision/latest?cb=20210917010239,"{""\n\n"": 1}",1
39488,1,Realms,119,125,internal,https://alldimensions.fandom.com/wiki/Realm,"{""Realms"": 1}",1
39488,3,Something may be taking these documents.,360,400,internal,https://alldimensions.fandom.com/wiki/Void_Cat,"{""Something may be taking these documents."": 1}",1
39488,5,Realm,76,81,internal,https://alldimensions.fandom.com/wiki/Realm,"{""Realm"": 1}",1
39488,5,Void Cat,108,116,internal,https://alldimensions.fandom.com/wiki/Void_Cat,"{""Void Cat"": 1}",1
39488,7,Primordium Delta,226,242,internal,https://alldimensions.fandom.com/wiki/Primordium_Delta,"{""Primordium Delta"": 1}",1
39488,11,Realm,235,240,internal,https://alldimensions.fandom.com/wiki/Realm,"{""Realm"": 1}",1
39488,12,Existence Rank,85,99,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""Existence Rank"": 1}",1
39488,12,Omniverse,333,342,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
39488,12,The Box,347,354,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
