article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
45231,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/e/e0/Hendaverse.png/revision/latest?cb=20240110193111,"{""\n\n"": 1}",1
45231,1,Finality Index:,229,244,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index:"": 1}",1
45231,1,Kardashev Scale:,249,265,internal,https://alldimensions.fandom.com/wiki/Kardashev_Scale,"{""Kardashev Scale:"": 1}",1
45231,1,Dokaverse,311,320,internal,https://alldimensions.fandom.com/wiki/Dokaverse,"{""Dokaverse"": 1}",1
45231,1,Archspheres,333,344,internal,https://alldimensions.fandom.com/wiki/Archsphere,"{""Archspheres"": 1}",1
45231,1,Masƣpⱷuȵaverse,364,378,internal,https://alldimensions.fandom.com/wiki/Mas%C6%A3p%E2%B1%B7u%C8%B5averse,"{""Masƣpⱷuȵaverse"": 1}",1
45231,3,Metaarchverse,4,17,internal,https://alldimensions.fandom.com/wiki/Metaarchverse,"{""Metaarchverse"": 1}",1
45231,4,EDA,33,36,internal,https://alldimensions.fandom.com/wiki/Extended_Divergent_Archverses,"{""EDA"": 1}",1
45231,4,archverse,37,46,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""archverse"": 1}",1
45231,4,multiverses,216,227,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""multiverses"": 1}",1
45231,4,metaverses,232,242,internal,https://alldimensions.fandom.com/wiki/Metaverse,"{""metaverses"": 1}",1
45231,4,feeshverses,249,260,internal,https://alldimensions.fandom.com/wiki/Feeshverse,"{""feeshverses"": 1}",1
45231,6,dokaverses,111,121,internal,https://alldimensions.fandom.com/wiki/Dokaverse,"{""dokaverses"": 1}",1
45231,7,Archverse,9,18,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
45231,10,Le Jorino Area,0,14,internal,https://alldimensions.fandom.com/wiki/Le_Jorino_Area,"{""Le Jorino Area"": 1}",1
45231,10,Archverse,17,26,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
45231,10,Ultraverse,29,39,internal,https://alldimensions.fandom.com/wiki/Ultraverse,"{""Ultraverse"": 1}",1
45231,33,YellowMarkers1,0,14,internal,https://alldimensions.fandom.com/wiki/User:YellowMarkers1,"{""YellowMarkers1"": 1}",1
45231,35,Oofandfoo,0,9,internal,https://alldimensions.fandom.com/wiki/User:Oofandfoo,"{""Oofandfoo"": 1}",1
45231,38,Randomuser66,0,12,internal,https://alldimensions.fandom.com/wiki/User:Randomuser66,"{""Randomuser66"": 1}",1
45231,54,ⶍ The Pre-Hierarchy ⶍ,0,21,internal,https://alldimensions.fandom.com/wiki/The_Pre-Hierarchy,"{""ⶍ The Pre-Hierarchy ⶍ"": 1}",1
45231,54,⧉ The Official Hierarchy ⧉,24,50,internal,https://alldimensions.fandom.com/wiki/The_Official_Hierarchy,"{""⧉ The Official Hierarchy ⧉"": 1}",1
45231,54,⍍ The Extended Hierarchy ⍍,53,79,internal,https://alldimensions.fandom.com/wiki/The_Extended_Hierarchy,"{""⍍ The Extended Hierarchy ⍍"": 1}",1
45231,54,⍬ The Post-Hierarchy ⍬,82,104,internal,https://alldimensions.fandom.com/wiki/The_Post-Hierarchy,"{""⍬ The Post-Hierarchy ⍬"": 1}",1
45231,54,✤ The Extended Post-Hierarchy ✤,107,138,internal,https://alldimensions.fandom.com/wiki/The_Extended_Post-Hierarchy,"{""✤ The Extended Post-Hierarchy ✤"": 1}",1
45231,55,Physical Realms,0,15,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""Physical Realms"": 1}",1
45231,55,Realmic Stripes,17,32,internal,https://alldimensions.fandom.com/wiki/Realmic_Strip,"{""Realmic Stripes"": 1}",1
45231,55,Archrealities,36,49,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Archrealities"": 1}",1
45231,55,Protoparticles,51,65,internal,https://alldimensions.fandom.com/wiki/Protoparticle,"{""Protoparticles"": 1}",1
45231,55,Inanes,67,73,internal,https://alldimensions.fandom.com/wiki/Inane,"{""Inanes"": 1}",1
45231,56,The Novachain,0,13,internal,https://alldimensions.fandom.com/wiki/Novachain,"{""The Novachain"": 1}",1
45231,57,Nothing,0,7,internal,https://alldimensions.fandom.com/wiki/Nothing,"{""Nothing"": 1}",1
45231,57,The Hierarchy Hierarchy,10,33,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""The Hierarchy Hierarchy"": 1}",1
45231,57,Reality,36,43,internal,https://alldimensions.fandom.com/wiki/Reality,"{""Reality"": 1}",1
45231,57,The Structure of Everything,46,73,internal,https://alldimensions.fandom.com/wiki/The_Structure_Of_Everything,"{""The Structure of Everything"": 1}",1
