article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
23525,1,Vastness,34,42,internal,https://alldimensions.fandom.com/wiki/Vastness,"{""Vastness"": 1}",1
23525,1,Vastness,34,42,internal,https://alldimensions.fandom.com/wiki/Vastness,"{""Vastness"": 1}",1
23525,1,The Rock,256,264,internal,https://alldimensions.fandom.com/wiki/The_Rock,"{""The Rock"": 1}",1
23525,1,Gerald,435,441,internal,https://alldimensions.fandom.com/wiki/Gerald,"{""Gerald"": 1}",1
23525,1,Dunkey Kong,446,457,internal,https://alldimensions.fandom.com/wiki/Dunkey_Kong.,"{""Dunkey Kong"": 1}",1
23525,2,Bongus,48,54,internal,https://alldimensions.fandom.com/wiki/Bongus,"{""Bongus"": 1}",1
23525,2,Chunky Cheese,104,117,internal,https://alldimensions.fandom.com/wiki/Chunky_Cheese,"{""Chunky Cheese"": 1}",1
23525,2,The Cosmological Recycler,188,213,internal,https://alldimensions.fandom.com/wiki/The_Cosmological_Recycler,"{""The Cosmological Recycler"": 1}",1
23525,4,Vastness,31,39,internal,https://alldimensions.fandom.com/wiki/Vastness,"{""Vastness"": 1}",1
23525,4,The Cosmological Recycler,321,346,internal,https://alldimensions.fandom.com/wiki/The_Cosmological_Recycler,"{""The Cosmological Recycler"": 1}",1
23525,5,The Seeker,74,84,internal,https://alldimensions.fandom.com/wiki/The_Seeker,"{""The Seeker"": 1}",1
23525,7,The Great Big,48,61,internal,https://alldimensions.fandom.com/wiki/The_Great_Big,"{""The Great Big"": 1}",1
