article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
43473,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/e/e4/V5n22xGyNNHLzSnSArbrVH.jpg/revision/latest?cb=20230119181216,"{""\n\n"": 1}",1
43473,1,Hyperloops,81,91,internal,https://alldimensions.fandom.com/wiki/Hyperloops,"{""Hyperloops"": 1}",1
43473,1,Hyperlooped Earth,113,130,internal,https://alldimensions.fandom.com/wiki/Hyperlooped_Earth,"{""Hyperlooped Earth"": 1}",1
43473,1,Hyperlooped Earth,113,130,internal,https://alldimensions.fandom.com/wiki/Hyperlooped_Earth,"{""Hyperlooped Earth"": 1}",1
43473,1,Hyperlooped Earth,113,130,internal,https://alldimensions.fandom.com/wiki/Hyperlooped_Earth,"{""Hyperlooped Earth"": 1}",1
43473,2,The Meta-Hierarchy,67,85,internal,https://alldimensions.fandom.com/wiki/The_Meta-Hierarchy,"{""The Meta-Hierarchy"": 1}",1
43473,3,The Meta-Hierarchy,30,48,internal,https://alldimensions.fandom.com/wiki/The_Meta-Hierarchy,"{""The Meta-Hierarchy"": 1}",1
43473,4,The Cosmic Truth,141,157,internal,https://alldimensions.fandom.com/wiki/The_Cosmic_Truth,"{""The Cosmic Truth"": 1}",1
43473,4,The Cosmic Truth,141,157,internal,https://alldimensions.fandom.com/wiki/The_Cosmic_Truth,"{""The Cosmic Truth"": 1}",1
43473,4,cosmic entities,542,557,internal,https://alldimensions.fandom.com/wiki/The_Official_Cosmic_Entity_Hierarchy,"{""cosmic entities"": 1}",1
