article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
19987,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/f4/In_silico.jpeg/revision/latest?cb=20200116231918,"{""\n\n"": 1}",1
19987,1,Silico,5,11,internal,https://alldimensions.fandom.com/wiki/Silico,"{""Silico"": 1}",1
19987,1,Orangenoseverse,67,82,internal,https://alldimensions.fandom.com/wiki/Orangenoseverse,"{""Orangenoseverse"": 1}",1
19987,1,Sky Tower,87,96,internal,https://alldimensions.fandom.com/wiki/Sky_Tower,"{""Sky Tower"": 1}",1
19987,1,Orangenoseverse,67,82,internal,https://alldimensions.fandom.com/wiki/Orangenoseverse,"{""Orangenoseverse"": 1}",1
19987,1,Orangenoseverse,67,82,internal,https://alldimensions.fandom.com/wiki/Orangenoseverse,"{""Orangenoseverse"": 1}",1
19987,1,Silico,5,11,internal,https://alldimensions.fandom.com/wiki/Silico,"{""Silico"": 1}",1
19987,1,Sky Tower,87,96,internal,https://alldimensions.fandom.com/wiki/Sky_Tower,"{""Sky Tower"": 1}",1
19987,2,Orangenoseverse,45,60,internal,https://alldimensions.fandom.com/wiki/Orangenoseverse,"{""Orangenoseverse"": 1}",1
19987,4,Realm,66,71,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""Realm"": 1}",1
19987,6,Silico,3,9,internal,https://alldimensions.fandom.com/wiki/Silico,"{""Silico"": 1}",1
