article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
43785,1,altiversjes,98,109,internal,https://alldimensions.fandom.com/wiki/Altiversje,"{""altiversjes"": 1}",1
43785,3,The True Waterfall,80,98,internal,https://alldimensions.fandom.com/wiki/The_True_Waterfall,"{""The True Waterfall"": 1}",1
43785,3,Altiversje,110,120,internal,https://alldimensions.fandom.com/wiki/Altiversje,"{""Altiversje"": 1}",1
43785,3,micraltiversjes,166,181,internal,https://alldimensions.fandom.com/wiki/Altiversje,"{""micraltiversjes"": 1}",1
43785,3,altiversje,170,180,internal,https://alldimensions.fandom.com/wiki/Altiversje,"{""altiversje"": 1}",1
43785,3,macraltiversjes,236,251,internal,https://alldimensions.fandom.com/wiki/Altiversje,"{""macraltiversjes"": 1}",1
43785,5,altiversje,32,42,internal,https://alldimensions.fandom.com/wiki/Altiversje,"{""altiversje"": 1}",1
43785,6,macraltiversjes,56,71,internal,https://alldimensions.fandom.com/wiki/Altiversje,"{""macraltiversjes"": 1}",1
43785,6,micraltiversjes,119,134,internal,https://alldimensions.fandom.com/wiki/Altiversje,"{""micraltiversjes"": 1}",1
43785,6,altiversjes,60,71,internal,https://alldimensions.fandom.com/wiki/Altiversje,"{""altiversjes"": 1}",1
43785,7,macraltiversje,12,26,internal,https://alldimensions.fandom.com/wiki/Altiversje,"{""macraltiversje"": 1}",1
43785,8,macraltiversje,4,18,internal,https://alldimensions.fandom.com/wiki/Altiversje,"{""macraltiversje"": 1}",1
43785,8,altiversjes,50,61,internal,https://alldimensions.fandom.com/wiki/Altiversje,"{""altiversjes"": 1}",1
43785,8,micraltiversjes,194,209,internal,https://alldimensions.fandom.com/wiki/Altiversje,"{""micraltiversjes"": 1}",1
