article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
21486,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/3/31/180px-Riboflavin_molecule_animated.gif/revision/latest?cb=20200219165302,"{""\n\n"": 1}",1
21486,1,Universe,73,81,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
21486,1,planets,93,100,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planets"": 1}",1
21486,1,stars,105,110,internal,https://alldimensions.fandom.com/wiki/Star,"{""stars"": 1}",1
21486,1,cells,138,143,internal,https://alldimensions.fandom.com/wiki/Cell_(biology),"{""cells"": 1}",1
21486,1,Atoms,179,184,internal,https://alldimensions.fandom.com/wiki/Atom,"{""Atoms"": 1}",1
21486,1,atoms,344,349,internal,https://alldimensions.fandom.com/wiki/Atom,"{""atoms"": 1}",1
21486,15,Universal,4,13,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universal"": 1}",1
21486,15,Verses,14,20,internal,https://alldimensions.fandom.com/wiki/Verse,"{""Verses"": 1}",1
21486,28,Hierarchy Family,0,16,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""Hierarchy Family"": 1}",1
