article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
47144,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/2/22/Nameless_Deity_Snake_%28Wrath_of_the_Gods%29.webp/revision/latest?cb=20241019032014,"{""\n\n"": 1}",1
47144,1,Abominationn,50,62,internal,https://alldimensions.fandom.com/wiki/Abominationn,"{""Abominationn"": 1}",1
47144,1,Mutant,101,107,internal,https://alldimensions.fandom.com/wiki/Mutant,"{""Mutant"": 1}",1
47144,1,Abominationn,50,62,internal,https://alldimensions.fandom.com/wiki/Abominationn,"{""Abominationn"": 1}",1
47144,1,cosmic entity,393,406,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""cosmic entity"": 1}",1
47144,2,"Entropic God, Noxus",154,173,internal,"https://alldimensions.fandom.com/wiki/Entropic_God,_Noxus","{""Entropic God, Noxus"": 1}",1
47144,3,Eternal Abyss,112,125,internal,https://alldimensions.fandom.com/wiki/Eternal_Abyss,"{""Eternal Abyss"": 1}",1
47144,6,Defense,86,93,internal,https://alldimensions.fandom.com/wiki/Mutant,"{""Defense"": 1}",1
47144,6,Damage Reduction,95,111,internal,https://alldimensions.fandom.com/wiki/Mutant,"{""Damage Reduction"": 1}",1
47144,6,Life Regeneration,117,134,internal,https://alldimensions.fandom.com/wiki/Mutant,"{""Life Regeneration"": 1}",1
47144,6,Power,164,169,internal,https://alldimensions.fandom.com/wiki/Mutant,"{""Power"": 1}",1
47144,21,Twisted Garden,28,42,external,https://www.youtube.com/watch?v=3bIy-eaLmKc,"{""Twisted Garden"": 1}",1
