article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
38947,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/4/4c/Omnipocket.png/revision/latest?cb=20210704043930,"{""\n\n"": 1}",1
38947,1,Voidonion,39,48,internal,https://alldimensions.fandom.com/wiki/Voidonion,"{""Voidonion"": 1}",1
38947,1,Omnionion,52,61,internal,https://alldimensions.fandom.com/wiki/Omnionion,"{""Omnionion"": 1}",1
38947,1,Voidonion,39,48,internal,https://alldimensions.fandom.com/wiki/Voidonion,"{""Voidonion"": 1}",1
38947,1,Omnionion,52,61,internal,https://alldimensions.fandom.com/wiki/Omnionion,"{""Omnionion"": 1}",1
38947,1,Omnionions,317,327,internal,https://alldimensions.fandom.com/wiki/Omnionion,"{""Omnionions"": 1}",1
38947,1,Voidonions,332,342,internal,https://alldimensions.fandom.com/wiki/Voidonion,"{""Voidonions"": 1}",1
38947,1,Zyorons,374,381,internal,https://alldimensions.fandom.com/wiki/User_blog:Googleaarex/Zyoron,"{""Zyorons"": 1}",1
38947,1,Verseunis,390,399,internal,https://alldimensions.fandom.com/wiki/Verseuni,"{""Verseunis"": 1}",1
38947,4,·,148,149,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·"": 1}",1
38947,5,○,101,102,internal,https://alldimensions.fandom.com/wiki/%E2%97%8B,"{""○"": 1}",1
38947,5,·,107,108,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·"": 1}",1
38947,6,Protoverses,46,57,internal,https://alldimensions.fandom.com/wiki/Protoverse,"{""Protoverses"": 1}",1
38947,7,Hyperverse,150,160,internal,https://alldimensions.fandom.com/wiki/Hyperverse,"{""Hyperverse"": 1}",1
38947,11,Archverse,9,18,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
38947,14,Le Jorino Area,0,14,internal,https://alldimensions.fandom.com/wiki/Le_Jorino_Area,"{""Le Jorino Area"": 1}",1
38947,14,Archverse,17,26,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
38947,14,Ultraverse,29,39,internal,https://alldimensions.fandom.com/wiki/Ultraverse,"{""Ultraverse"": 1}",1
38947,37,YellowMarkers1,0,14,internal,https://alldimensions.fandom.com/wiki/User:YellowMarkers1,"{""YellowMarkers1"": 1}",1
38947,39,Oofandfoo,0,9,internal,https://alldimensions.fandom.com/wiki/User:Oofandfoo,"{""Oofandfoo"": 1}",1
38947,42,Randomuser66,0,12,internal,https://alldimensions.fandom.com/wiki/User:Randomuser66,"{""Randomuser66"": 1}",1
38947,58,ⶍ The Pre-Hierarchy ⶍ,0,21,internal,https://alldimensions.fandom.com/wiki/The_Pre-Hierarchy,"{""ⶍ The Pre-Hierarchy ⶍ"": 1}",1
38947,58,⧉ The Official Hierarchy ⧉,24,50,internal,https://alldimensions.fandom.com/wiki/The_Official_Hierarchy,"{""⧉ The Official Hierarchy ⧉"": 1}",1
38947,58,⍍ The Extended Hierarchy ⍍,53,79,internal,https://alldimensions.fandom.com/wiki/The_Extended_Hierarchy,"{""⍍ The Extended Hierarchy ⍍"": 1}",1
38947,58,⍬ The Post-Hierarchy ⍬,82,104,internal,https://alldimensions.fandom.com/wiki/The_Post-Hierarchy,"{""⍬ The Post-Hierarchy ⍬"": 1}",1
38947,58,✤ The Extended Post-Hierarchy ✤,107,138,internal,https://alldimensions.fandom.com/wiki/The_Extended_Post-Hierarchy,"{""✤ The Extended Post-Hierarchy ✤"": 1}",1
38947,59,Physical Realms,0,15,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""Physical Realms"": 1}",1
38947,59,Realmic Stripes,17,32,internal,https://alldimensions.fandom.com/wiki/Realmic_Strip,"{""Realmic Stripes"": 1}",1
38947,59,Archrealities,36,49,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Archrealities"": 1}",1
38947,59,Protoparticles,51,65,internal,https://alldimensions.fandom.com/wiki/Protoparticle,"{""Protoparticles"": 1}",1
38947,59,Inanes,67,73,internal,https://alldimensions.fandom.com/wiki/Inane,"{""Inanes"": 1}",1
38947,60,The Novachain,0,13,internal,https://alldimensions.fandom.com/wiki/Novachain,"{""The Novachain"": 1}",1
38947,61,Nothing,0,7,internal,https://alldimensions.fandom.com/wiki/Nothing,"{""Nothing"": 1}",1
38947,61,The Hierarchy Hierarchy,10,33,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""The Hierarchy Hierarchy"": 1}",1
38947,61,Reality,36,43,internal,https://alldimensions.fandom.com/wiki/Reality,"{""Reality"": 1}",1
38947,61,The Structure of Everything,46,73,internal,https://alldimensions.fandom.com/wiki/The_Structure_Of_Everything,"{""The Structure of Everything"": 1}",1
