article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
25716,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/8/86/Delta_Particle.png/revision/latest?cb=20200426114149,"{""\n\n"": 1}",1
25716,1,EUSI,56,60,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
25716,1,Finality Index,65,79,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
25716,1,FOEI,97,101,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
25716,1,Elementary Particles,378,398,internal,https://alldimensions.fandom.com/wiki/Category:The_First_Particles,"{""Elementary Particles"": 1}",1
25716,1,Blueprint Particles,419,438,internal,https://alldimensions.fandom.com/wiki/Blueprint_Particle,"{""Blueprint Particles"": 1}",1
25716,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/8/86/Delta_Particle.png/revision/latest?cb=20200426114149,"{""\n\n"": 1}",1
25716,3,·,85,86,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·"": 1}",1
25716,3,multiverses,114,125,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""multiverses"": 1}",1
25716,3,Primordialverse,353,368,internal,https://alldimensions.fandom.com/wiki/Primordialverse,"{""Primordialverse"": 1}",1
25716,3,Primordial,353,363,internal,https://alldimensions.fandom.com/wiki/The_Primordial,"{""Primordial"": 1}",1
25716,4,Glitch Matter,123,136,internal,https://alldimensions.fandom.com/wiki/Glitch_Matter,"{""Glitch Matter"": 1}",1
25716,5,Α particles,97,108,internal,https://alldimensions.fandom.com/wiki/%CE%91_particle,"{""Α particles"": 1}",1
25716,5,Σ particles,110,121,internal,https://alldimensions.fandom.com/wiki/%CE%A3_particle,"{""Σ particles"": 1}",1
25716,5,Ω particles,126,137,internal,https://alldimensions.fandom.com/wiki/%CE%A9_particle,"{""Ω particles"": 1}",1
25716,7,Archverse,9,18,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
25716,10,Le Jorino Area,0,14,internal,https://alldimensions.fandom.com/wiki/Le_Jorino_Area,"{""Le Jorino Area"": 1}",1
25716,10,Archverse,17,26,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
25716,10,Ultraverse,29,39,internal,https://alldimensions.fandom.com/wiki/Ultraverse,"{""Ultraverse"": 1}",1
25716,33,YellowMarkers1,0,14,internal,https://alldimensions.fandom.com/wiki/User:YellowMarkers1,"{""YellowMarkers1"": 1}",1
25716,35,Oofandfoo,0,9,internal,https://alldimensions.fandom.com/wiki/User:Oofandfoo,"{""Oofandfoo"": 1}",1
25716,38,Randomuser66,0,12,internal,https://alldimensions.fandom.com/wiki/User:Randomuser66,"{""Randomuser66"": 1}",1
25716,54,ⶍ The Pre-Hierarchy ⶍ,0,21,internal,https://alldimensions.fandom.com/wiki/The_Pre-Hierarchy,"{""ⶍ The Pre-Hierarchy ⶍ"": 1}",1
25716,54,⧉ The Official Hierarchy ⧉,24,50,internal,https://alldimensions.fandom.com/wiki/The_Official_Hierarchy,"{""⧉ The Official Hierarchy ⧉"": 1}",1
25716,54,⍍ The Extended Hierarchy ⍍,53,79,internal,https://alldimensions.fandom.com/wiki/The_Extended_Hierarchy,"{""⍍ The Extended Hierarchy ⍍"": 1}",1
25716,54,⍬ The Post-Hierarchy ⍬,82,104,internal,https://alldimensions.fandom.com/wiki/The_Post-Hierarchy,"{""⍬ The Post-Hierarchy ⍬"": 1}",1
25716,54,✤ The Extended Post-Hierarchy ✤,107,138,internal,https://alldimensions.fandom.com/wiki/The_Extended_Post-Hierarchy,"{""✤ The Extended Post-Hierarchy ✤"": 1}",1
25716,55,Physical Realms,0,15,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""Physical Realms"": 1}",1
25716,55,Realmic Stripes,17,32,internal,https://alldimensions.fandom.com/wiki/Realmic_Strip,"{""Realmic Stripes"": 1}",1
25716,55,Archrealities,36,49,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Archrealities"": 1}",1
25716,55,Protoparticles,51,65,internal,https://alldimensions.fandom.com/wiki/Protoparticle,"{""Protoparticles"": 1}",1
25716,55,Inanes,67,73,internal,https://alldimensions.fandom.com/wiki/Inane,"{""Inanes"": 1}",1
25716,56,The Novachain,0,13,internal,https://alldimensions.fandom.com/wiki/Novachain,"{""The Novachain"": 1}",1
25716,57,Nothing,0,7,internal,https://alldimensions.fandom.com/wiki/Nothing,"{""Nothing"": 1}",1
25716,57,The Hierarchy Hierarchy,10,33,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""The Hierarchy Hierarchy"": 1}",1
25716,57,Reality,36,43,internal,https://alldimensions.fandom.com/wiki/Reality,"{""Reality"": 1}",1
25716,57,The Structure of Everything,46,73,internal,https://alldimensions.fandom.com/wiki/The_Structure_Of_Everything,"{""The Structure of Everything"": 1}",1
