article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
22222,1,ICantEdit,57,66,internal,https://alldimensions.fandom.com/wiki/User:ICantEdit,"{""ICantEdit"": 1}",1
22222,2,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/3/38/Proton.png/revision/latest?cb=20210102220639,"{""\n\n"": 1}",1
22222,2,Atoms,67,72,internal,https://alldimensions.fandom.com/wiki/Atom,"{""Atoms"": 1}",1
22222,2,Quarks,99,105,internal,https://alldimensions.fandom.com/wiki/Quark,"{""Quarks"": 1}",1
22222,2,Up Quarks,110,119,internal,https://alldimensions.fandom.com/wiki/Up_Quark,"{""Up Quarks"": 1}",1
22222,2,Down Quark,124,134,internal,https://alldimensions.fandom.com/wiki/Down_Quark,"{""Down Quark"": 1}",1
22222,2,Gluons,137,143,internal,https://alldimensions.fandom.com/wiki/Gluon,"{""Gluons"": 1}",1
22222,2,quark,302,307,internal,https://alldimensions.fandom.com/wiki/Quark,"{""quark"": 1}",1
22222,2,quarks,319,325,internal,https://alldimensions.fandom.com/wiki/Quark,"{""quarks"": 1}",1
22222,2,atoms,82,87,internal,https://alldimensions.fandom.com/wiki/Atom,"{""atoms"": 1}",1
22222,2,neutron,488,495,internal,https://alldimensions.fandom.com/wiki/Neutron,"{""neutron"": 1}",1
22222,9,Universal,4,13,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universal"": 1}",1
22222,9,Verses,14,20,internal,https://alldimensions.fandom.com/wiki/Verse,"{""Verses"": 1}",1
22222,22,Hierarchy Family,0,16,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""Hierarchy Family"": 1}",1
