article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
38613,1,The Outside,151,162,internal,https://alldimensions.fandom.com/wiki/The_Outside,"{""The Outside"": 1}",1
38613,1,Uqraek fibers,175,188,internal,https://alldimensions.fandom.com/wiki/Uqraek_fiber,"{""Uqraek fibers"": 1}",1
38613,1,Protoverses,190,201,internal,https://alldimensions.fandom.com/wiki/Protoverse,"{""Protoverses"": 1}",1
38613,1,Nullirotos,203,213,internal,https://alldimensions.fandom.com/wiki/Nulliroto,"{""Nullirotos"": 1}",1
38613,3,nonexistence,36,48,internal,https://alldimensions.fandom.com/wiki/Nonexistence,"{""nonexistence"": 1}",1
38613,3,existence,4,13,internal,https://alldimensions.fandom.com/wiki/Existence_Rank#Existence-1,"{""existence"": 1}",1
38613,3,Cetaverse,98,107,internal,https://alldimensions.fandom.com/wiki/Cetaverse,"{""Cetaverse"": 1}",1
38613,3,Omniverses,170,180,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverses"": 1}",1
38613,4,existence,23,32,internal,https://alldimensions.fandom.com/wiki/Existence_Rank#Existence-1,"{""existence"": 1}",1
38613,4,hyperatoms,102,112,internal,https://alldimensions.fandom.com/wiki/Hyperradioactive_Elements,"{""hyperatoms"": 1}",1
38613,4,biradioactivity,120,135,internal,https://alldimensions.fandom.com/wiki/Biradioactivity,"{""biradioactivity"": 1}",1
38613,4,biradioactivity,120,135,internal,https://alldimensions.fandom.com/wiki/Biradioactivity,"{""biradioactivity"": 1}",1
38613,5,Cetaverse,58,67,internal,https://alldimensions.fandom.com/wiki/Cetaverse,"{""Cetaverse"": 1}",1
38613,5,Multiverse,142,152,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverse"": 1}",1
38613,6,Universes,107,116,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universes"": 1}",1
38613,6,Cetaverses,121,131,internal,https://alldimensions.fandom.com/wiki/Cetaverse,"{""Cetaverses"": 1}",1
38613,8,our Barrelplex,3,17,internal,https://alldimensions.fandom.com/wiki/Barrelplex,"{""our Barrelplex"": 1}",1
38613,8,Omniverses,162,172,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverses"": 1}",1
38613,8,Barrels,183,190,internal,https://alldimensions.fandom.com/wiki/Barrel,"{""Barrels"": 1}",1
38613,8,our Cetaverse,257,270,internal,https://alldimensions.fandom.com/wiki/Cetaverse,"{""our Cetaverse"": 1}",1
38613,9,Protospatial particle,27,48,internal,https://alldimensions.fandom.com/wiki/Protospatial_particles,"{""Protospatial particle"": 1}",1
38613,9,Protoverses,142,153,internal,https://alldimensions.fandom.com/wiki/Protoverse,"{""Protoverses"": 1}",1
38613,9,Nullirotos,158,168,internal,https://alldimensions.fandom.com/wiki/Nulliroto,"{""Nullirotos"": 1}",1
38613,10,Boxes,94,99,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""Boxes"": 1}",1
38613,11,nonexistent,32,43,internal,https://alldimensions.fandom.com/wiki/Nonexistence,"{""nonexistent"": 1}",1
38613,11,Omniverses,143,153,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverses"": 1}",1
38613,11,Barrels,193,200,internal,https://alldimensions.fandom.com/wiki/Barrel,"{""Barrels"": 1}",1
38613,11,the Outside,251,262,internal,https://alldimensions.fandom.com/wiki/The_Outside,"{""the Outside"": 1}",1
38613,12,negaexistent,57,69,internal,https://alldimensions.fandom.com/wiki/Negaexistence,"{""negaexistent"": 1}",1
38613,14,superexistence,36,50,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""superexistence"": 1}",1
38613,16,megaboxial,19,29,internal,https://alldimensions.fandom.com/wiki/Mega-box,"{""megaboxial"": 1}",1
