article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
42095,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/4/4c/465_HD260655b_1600x900.jpg/revision/latest?cb=20220701205230,"{""\n\n"": 1}",1
42095,1,supermoon,76,85,internal,https://alldimensions.fandom.com/wiki/User:Kaydenspacelover/Supermoons,"{""supermoon"": 1}",1
42095,1,Multiverse,39,49,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverse"": 1}",1
42095,1,Universe,255,263,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
42095,1,materials,335,344,internal,https://alldimensions.fandom.com/wiki/Category:Material,"{""materials"": 1}",1
42095,2,type of,36,43,internal,https://alldimensions.fandom.com/wiki/Category:Planet_type,"{""type of"": 1}",1
42095,2,planet,7,13,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planet"": 1}",1
42095,2,Universe,222,230,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
42095,5,our,56,59,internal,https://alldimensions.fandom.com/wiki/Our_Multiverse,"{""our"": 1}",1
42095,5,Multiverse,66,76,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverse"": 1}",1
42095,5,galaxies,227,235,internal,https://alldimensions.fandom.com/wiki/Galaxy,"{""galaxies"": 1}",1
42095,6,supermoons,29,39,internal,https://alldimensions.fandom.com/wiki/Supermoons,"{""supermoons"": 1}",1
42095,6,neutron,138,145,internal,https://alldimensions.fandom.com/wiki/Neutron_star,"{""neutron"": 1}",1
42095,6,stars,146,151,internal,https://alldimensions.fandom.com/wiki/Star,"{""stars"": 1}",1
42095,7,life,45,49,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""life"": 1}",1
42095,7,star systems,499,511,internal,https://alldimensions.fandom.com/wiki/Solar_System,"{""star systems"": 1}",1
42095,7,civillizations,575,589,internal,https://alldimensions.fandom.com/wiki/Category:Civilization,"{""civillizations"": 1}",1
42095,8,black holes,114,125,internal,https://alldimensions.fandom.com/wiki/Black_hole,"{""black holes"": 1}",1
42095,8,matter,187,193,internal,https://alldimensions.fandom.com/wiki/Matter,"{""matter"": 1}",1
42095,9,Ultranova,752,761,internal,https://alldimensions.fandom.com/wiki/Ultranova,"{""Ultranova"": 1}",1
