article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
22733,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/0/00/THE_CREATOR.png/revision/latest?cb=20200323073842,"{""\n\n"": 1}",1
22733,1,Room,33,37,internal,https://alldimensions.fandom.com/wiki/The_Room,"{""Room"": 1}",1
22733,1,Pencil,123,129,internal,https://alldimensions.fandom.com/wiki/The_Pencil,"{""Pencil"": 1}",1
22733,1,Pencils,186,193,internal,https://alldimensions.fandom.com/wiki/The_Pencil,"{""Pencils"": 1}",1
22733,1,verses,204,210,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verses"": 1}",1
22733,1,Inaccessibleverse,260,277,internal,https://alldimensions.fandom.com/wiki/Inaccessibleverse,"{""Inaccessibleverse"": 1}",1
22733,1,Boxes,319,324,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""Boxes"": 1}",1
22733,1,Tables,348,354,internal,https://alldimensions.fandom.com/wiki/The_Table,"{""Tables"": 1}",1
22733,1,Room,33,37,internal,https://alldimensions.fandom.com/wiki/The_Room,"{""Room"": 1}",1
22733,1,Papers,369,375,internal,https://alldimensions.fandom.com/wiki/The_Paper,"{""Papers"": 1}",1
22733,1,Creator,455,462,internal,https://alldimensions.fandom.com/wiki/The_Creator,"{""Creator"": 1}",1
22733,2,being,17,22,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""being"": 1}",1
22733,2,Primordial Entity,40,57,internal,https://alldimensions.fandom.com/wiki/Category:Primordial_Entity,"{""Primordial Entity"": 1}",1
22733,2,Primordial,40,50,internal,https://alldimensions.fandom.com/wiki/The_Primordial,"{""Primordial"": 1}",1
22733,3,verses,40,46,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verses"": 1}",1
22733,3,Pencils,94,101,internal,https://alldimensions.fandom.com/wiki/The_Pencil,"{""Pencils"": 1}",1
22733,3,Papers,117,123,internal,https://alldimensions.fandom.com/wiki/The_Paper,"{""Papers"": 1}",1
22733,3,Room,144,148,internal,https://alldimensions.fandom.com/wiki/The_Room,"{""Room"": 1}",1
22733,4,the Brothers,121,133,internal,https://alldimensions.fandom.com/wiki/Category:The_Brothers,"{""the Brothers"": 1}",1
22733,4,Vood'Em,155,162,internal,https://alldimensions.fandom.com/wiki/Vood%27Em,"{""Vood'Em"": 1}",1
22733,4,BEYOND HELL,228,239,internal,https://alldimensions.fandom.com/wiki/BEYOND_HELL,"{""BEYOND HELL"": 1}",1
22733,5,The True Creator,273,289,internal,https://alldimensions.fandom.com/wiki/THE_TRUE_CREATOR,"{""The True Creator"": 1}",1
