article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
45549,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/1/13/The_All-Verse.png/revision/latest?cb=20240225190701,"{""\n\n"": 1}",1
45549,1,!̶,46,48,internal,https://alldimensions.fandom.com/wiki/!%CC%B6,"{""!̶"": 1}",1
45549,1,‽,78,79,internal,https://alldimensions.fandom.com/wiki/%E2%80%BD,"{""‽"": 1}",1
45549,1,Ħ,80,81,internal,https://alldimensions.fandom.com/wiki/The_Extended_Post-Hierarchy/Numbers,"{""Ħ"": 1}",1
45549,1,‽,78,79,internal,https://alldimensions.fandom.com/wiki/%E2%80%BD,"{""‽"": 1}",1
45549,1,The All-Spirals,146,161,internal,https://alldimensions.fandom.com/wiki/The_All-Spiral,"{""The All-Spirals"": 1}",1
45549,1,The All-Voids,173,186,internal,https://alldimensions.fandom.com/wiki/The_All-Void,"{""The All-Voids"": 1}",1
45549,3,!̶,47,49,internal,https://alldimensions.fandom.com/wiki/!%CC%B6,"{""!̶"": 1}",1
45549,8,Void,0,4,internal,https://alldimensions.fandom.com/wiki/User:KingVoidDragon11,"{""Void"": 1}",1
45549,43,Hierarchy Family,0,16,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""Hierarchy Family"": 1}",1
