article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
36279,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/3/30/TBIM.gif/revision/latest?cb=20201223143147,"{""\n\n"": 1}",1
36279,1,Megamejonic Megamejons,75,97,internal,https://alldimensions.fandom.com/wiki/The_Megamejonic_Megamejon,"{""Megamejonic Megamejons"": 1}",1
36279,1,Icosadakonic Meicosahendons,109,136,internal,https://alldimensions.fandom.com/wiki/The_Icosadakonic_Meicosahendon,"{""Icosadakonic Meicosahendons"": 1}",1
36279,1,LAIF,188,192,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
36279,1,the Icosadakonic Meicosahendons,238,269,internal,https://alldimensions.fandom.com/wiki/The_Icosadakonic_Meicosahendon,"{""the Icosadakonic Meicosahendons"": 1}",1
36279,1,LAIF,188,192,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
36279,2,the Icosadakonic Meicosahendons,71,102,internal,https://alldimensions.fandom.com/wiki/The_Icosadakonic_Meicosahendon,"{""the Icosadakonic Meicosahendons"": 1}",1
36279,2,the Pentatopic Duetriacontaterons,119,152,internal,https://alldimensions.fandom.com/wiki/The_Pentatopic_Duetriacontateron,"{""the Pentatopic Duetriacontaterons"": 1}",1
36279,2,Green Pentatopic Duetriacontaterons,157,192,internal,https://alldimensions.fandom.com/wiki/The_Green_Pentatopic_Duetriacontateron,"{""Green Pentatopic Duetriacontaterons"": 1}",1
36279,3,Primordium Particles,83,103,internal,https://alldimensions.fandom.com/wiki/Category:Primordium_Particle,"{""Primordium Particles"": 1}",1
36279,3,Primordium Sigma,157,173,internal,https://alldimensions.fandom.com/wiki/Primordium_Sigma,"{""Primordium Sigma"": 1}",1
