article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
36370,1,The Duocyclinder,24,40,internal,https://alldimensions.fandom.com/wiki/The_Duocyclinder,"{""The Duocyclinder"": 1}",1
36370,1,"

",41,43,external,https://static.wikia.nocookie.net/alldimensions/images/a/ac/The_Duocylinder.gif/revision/latest?cb=20210103015339,"{""\n\n"": 1}",1
36370,1,The Spherinders,96,111,internal,https://alldimensions.fandom.com/wiki/The_Spherinder,"{""The Spherinders"": 1}",1
36370,1,The Cubinders,123,136,internal,https://alldimensions.fandom.com/wiki/The_Cubinder,"{""The Cubinders"": 1}",1
36370,1,LAIF,172,176,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
36370,1,the Cubinders,216,229,internal,https://alldimensions.fandom.com/wiki/The_Cubinder,"{""the Cubinders"": 1}",1
36370,1,LAIF,172,176,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
36370,2,Cartesian product,88,105,external,https://en.wikipedia.org/wiki/Cartesian_product,"{""Cartesian product"": 1}",1
36370,2,circles,113,120,internal,https://alldimensions.fandom.com/wiki/Circle,"{""circles"": 1}",1
36370,2,Cubinders,136,145,internal,https://alldimensions.fandom.com/wiki/The_Cubinder,"{""Cubinders"": 1}",1
36370,2,The Tesseract,191,204,internal,https://alldimensions.fandom.com/wiki/The_Tesseract,"{""The Tesseract"": 1}",1
36370,2,The Cubinder,209,221,internal,https://alldimensions.fandom.com/wiki/The_Cubinder,"{""The Cubinder"": 1}",1
36370,3,Archrealities,67,80,internal,https://alldimensions.fandom.com/wiki/Archreality,"{""Archrealities"": 1}",1
