article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
39301,2,limit of physics,43,59,internal,https://alldimensions.fandom.com/wiki/Quantumverse,"{""limit of physics"": 1}",1
39301,3,farm lands,66,76,external,https://minecraft.fandom.com/wiki/Far_Lands,"{""farm lands"": 1}",1
39301,4,Quantumverse,66,78,internal,https://alldimensions.fandom.com/wiki/Quantumverse,"{""Quantumverse"": 1}",1
39301,8,Nonexistent particle,18,38,internal,https://alldimensions.fandom.com/wiki/Nonexistent_particles,"{""Nonexistent particle"": 1}",1
39301,10,Existence rank,0,14,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""Existence rank"": 1}",1
39301,10,[1],48,51,anchor,https://alldimensions.fandom.com#cite_note-1,"{""[1]"": 1}",1
39301,10,Finality index,54,68,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality index"": 1}",1
39301,10,[2],102,105,anchor,https://alldimensions.fandom.com#cite_note-2,"{""[2]"": 1}",1
39301,10,FOEI,108,112,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
39301,10,[3],175,178,anchor,https://alldimensions.fandom.com#cite_note-3,"{""[3]"": 1}",1
39301,11,here,31,35,internal,https://alldimensions.fandom.com/wiki/Structures_throughout_realms_of_unknown#Limitlessly_bounded_structure_field_.2F_size:_.E2.88.90,"{""here"": 1}",1
39301,12,safespot,23,31,external,https://www.youtube.com/watch?v=0ZXM5L75h38&t=2s,"{""safespot"": 1}",1
39301,12,stretched like squid,89,109,external,https://www.youtube.com/watch?v=WRZlOvt6Fk8,"{""stretched like squid"": 1}",1
39301,12,Thanos-snapped,162,176,external,https://www.youtube.com/watch?v=k_H5WPZQ468,"{""Thanos-snapped"": 1}",1
39301,15,Existence rank,0,14,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""Existence rank"": 1}",1
39301,15,Finality index,69,83,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality index"": 1}",1
39301,15,FOEI,150,154,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
39301,15,[4],232,235,anchor,https://alldimensions.fandom.com#cite_note-4,"{""[4]"": 1}",1
39301,16,here,39,43,internal,https://alldimensions.fandom.com/wiki/Structures_throughout_realms_of_unknown#Staticverse_.2F_.28.F0.9D.94.80.5E.F0.9D.94.80.5E.F0.9D.94.80.29.2A.F0.9D.94.80,"{""here"": 1}",1
39301,18,a stellated dodecahedron,157,181,external,https://en.wikipedia.org/wiki/Small_stellated_dodecahedron,"{""a stellated dodecahedron"": 1}",1
39301,18,spikes extend unnaturally long,187,217,external,https://www.youtube.com/watch?v=eUctdVLABgM,"{""spikes extend unnaturally long"": 1}",1
39301,18,Uqraek fiber,280,292,internal,https://alldimensions.fandom.com/wiki/Uqraek_fiber,"{""Uqraek fiber"": 1}",1
39301,19,The Box,265,272,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
39301,20,,0,0,external,https://static.wikia.nocookie.net/alldimensions/images/5/59/Counter.gif/revision/latest?cb=20210829053017,"{"""": 1}",1
39301,20,WTF!!,180,185,external,https://www.youtube.com/watch?v=eAoR4h6SQGg,"{""WTF!!"": 1}",1
39301,23,Existence rank,0,14,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""Existence rank"": 1}",1
39301,23,Finality index,73,87,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality index"": 1}",1
39301,23,FOEI,157,161,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
39301,24,little terrifying,114,131,external,https://www.youtube.com/watch?v=CyjvUVPX8mE,"{""little terrifying"": 1}",1
39301,24,ℰ0,188,190,internal,https://alldimensions.fandom.com/wiki/Structures_throughout_realms_of_unknown#Maxverse_.2F_size:_.E2.84.B00,"{""ℰ0"": 1}",1
39301,24,...no,295,300,external,https://www.youtube.com/watch?v=g7_I6kj9fTc,"{""...no"": 1}",1
39301,24,"""sprites"" are bugged that they grew so much bigger than their ""hitboxes""",538,610,external,https://www.youtube.com/watch?v=O6rfLIyyZsU,"{""\""sprites\"" are bugged that they grew so much bigger than their \""hitboxes\"""": 1}",1
39301,25,our universe full of infinite power sources,185,228,external,https://www.youtube.com/watch?v=6ngkOwH6jsY,"{""our universe full of infinite power sources"": 1}",1
39301,26,beautiful,54,63,external,https://www.youtube.com/watch?v=98G-wFWvNvA,"{""beautiful"": 1}",1
39301,29,Existence rank,0,14,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""Existence rank"": 1}",1
39301,29,Finality index,92,106,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality index"": 1}",1
39301,29,FOEI,198,202,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
39301,30,even nastier than they are in the former region,11,58,external,https://www.youtube.com/watch?v=i_RLYSaPvak,"{""even nastier than they are in the former region"": 1}",1
39301,31,,0,0,external,https://static.wikia.nocookie.net/alldimensions/images/5/59/Counter.gif/revision/latest?cb=20210829053017,"{"""": 1}",1
39301,31,Oh great,258,266,external,https://www.youtube.com/watch?v=c5FmWobi2GI,"{""Oh great"": 1}",1
39301,34,Existence rank,0,14,internal,https://alldimensions.fandom.com/wiki/Existence_Rank,"{""Existence rank"": 1}",1
39301,34,Finality index,93,107,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality index"": 1}",1
39301,34,FOEI,204,208,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
