article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
41720,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/1/16/Extremewall.jpg/revision/latest?cb=20220508005143,"{""\n\n"": 1}",1
41720,1,Megaloverse,81,92,internal,https://alldimensions.fandom.com/wiki/Megaloverse,"{""Megaloverse"": 1}",1
41720,1,Megaloverses,147,159,internal,https://alldimensions.fandom.com/wiki/Megaloverse,"{""Megaloverses"": 1}",1
41720,1,Hyperverse,207,217,internal,https://alldimensions.fandom.com/wiki/Hyperverse,"{""Hyperverse"": 1}",1
41720,1,the Relative Spaces,318,337,internal,https://alldimensions.fandom.com/wiki/The_Relative_Space,"{""the Relative Spaces"": 1}",1
41720,1,Megaloverses,147,159,internal,https://alldimensions.fandom.com/wiki/Megaloverse,"{""Megaloverses"": 1}",1
41720,1,structures,427,437,internal,https://alldimensions.fandom.com/wiki/Category:Structure,"{""structures"": 1}",1
41720,1,Megaloverses,147,159,internal,https://alldimensions.fandom.com/wiki/Megaloverse,"{""Megaloverses"": 1}",1
41720,1,Relative Space,322,336,internal,https://alldimensions.fandom.com/wiki/The_Relative_Space,"{""Relative Space"": 1}",1
41720,1,Deep Blue,539,548,internal,https://alldimensions.fandom.com/wiki/The_Deep_Blue,"{""Deep Blue"": 1}",1
41720,2,Hyperverse,94,104,internal,https://alldimensions.fandom.com/wiki/Hyperverse,"{""Hyperverse"": 1}",1
41720,3,built,22,27,internal,https://alldimensions.fandom.com/wiki/Category:Manmade,"{""built"": 1}",1
41720,3,the One True God,31,47,internal,https://alldimensions.fandom.com/wiki/The_One_True_God,"{""the One True God"": 1}",1
