article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
24633,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/a/ab/Screen_Shot_2020-04-15_at_4.19.23_PM.png/revision/latest?cb=20200415232427,"{""\n\n"": 1}",1
24633,1,Unexistences,182,194,internal,https://alldimensions.fandom.com/wiki/Unexistence,"{""Unexistences"": 1}",1
24633,1,The Outer Layers,207,223,internal,https://alldimensions.fandom.com/wiki/The_Outer_Layer,"{""The Outer Layers"": 1}",1
24633,1,the Clusters,225,237,internal,https://alldimensions.fandom.com/wiki/The_Cluster,"{""the Clusters"": 1}",1
24633,1,&9ts,239,243,internal,https://alldimensions.fandom.com/wiki/%269t,"{""&9ts"": 1}",1
24633,1,cities of nothing,245,262,internal,https://alldimensions.fandom.com/wiki/City_of_nothing,"{""cities of nothing"": 1}",1
24633,2,The Cluster,67,78,internal,https://alldimensions.fandom.com/wiki/The_Cluster,"{""The Cluster"": 1}",1
24633,2,The Outer Layer,88,103,internal,https://alldimensions.fandom.com/wiki/The_Outer_Layer,"{""The Outer Layer"": 1}",1
24633,9,Our Universe,113,125,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Our Universe"": 1}",1
24633,15,Clusters,31,39,internal,https://alldimensions.fandom.com/wiki/The_Cluster,"{""Clusters"": 1}",1
