article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
37204,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/4/4a/The_Final_Hyperverse.png/revision/latest?cb=20210308202456,"{""\n\n"": 1}",1
37204,1,The Final Existence,60,79,internal,https://alldimensions.fandom.com/wiki/The_Final_Existence,"{""The Final Existence"": 1}",1
37204,1,Final Hyperverses,87,104,internal,https://alldimensions.fandom.com/wiki/The_Final_Hyperverse/redirect,"{""Final Hyperverses"": 1}",1
37204,1,The Final Superverses,116,137,internal,https://alldimensions.fandom.com/wiki/The_Final_Superverse,"{""The Final Superverses"": 1}",1
37204,1,Final Hyperverses,87,104,internal,https://alldimensions.fandom.com/wiki/The_Final_Hyperverse/redirect,"{""Final Hyperverses"": 1}",1
37204,1,LAIF,221,225,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
37204,1,the Final Superverses,274,295,internal,https://alldimensions.fandom.com/wiki/The_Final_Superverse,"{""the Final Superverses"": 1}",1
37204,1,LAIF,221,225,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
37204,1,Hyperverse,12,22,internal,https://alldimensions.fandom.com/wiki/Hyperverse,"{""Hyperverse"": 1}",1
37204,1,The Final Existance,527,546,internal,https://alldimensions.fandom.com/wiki/The_Final_Existence,"{""The Final Existance"": 1}",1
37204,4,boron trifluoride,96,113,external,https://en.wikipedia.org/wiki/Boron_trifluoride,"{""boron trifluoride"": 1}",1
