article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
38222,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/a/ae/Forcer.jpg/revision/latest?cb=20210511015724,"{""\n\n"": 1}",1
38222,2,W.E.N.D,65,72,internal,https://alldimensions.fandom.com/wiki/Category:W.E.N.D,"{""W.E.N.D"": 1}",1
38222,2,Protoverse,144,154,internal,https://alldimensions.fandom.com/wiki/Protoverse,"{""Protoverse"": 1}",1
38222,3,OYC,270,273,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
38222,5,·,239,240,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""·"": 1}",1
38222,5,the Core of Everything,455,477,internal,https://alldimensions.fandom.com/wiki/The_Core_of_Everything,"{""the Core of Everything"": 1}",1
38222,19,Wendy,7,12,internal,https://alldimensions.fandom.com/wiki/Wendy,"{""Wendy"": 1}",1
38222,19,Wendb,14,19,internal,https://alldimensions.fandom.com/wiki/Wendy#Wendb,"{""Wendb"": 1}",1
38222,19,bogdot,21,27,internal,https://alldimensions.fandom.com/wiki/User_blog:Randomuser66/bogdot,"{""bogdot"": 1}",1
38222,22,Wendr,7,12,internal,https://alldimensions.fandom.com/wiki/Wendy#Wendr,"{""Wendr"": 1}",1
38222,22,Yekht,14,19,internal,https://alldimensions.fandom.com/wiki/User_blog:Fuzzo_the_fuzzy_bee/Yekht,"{""Yekht"": 1}",1
38222,25,Micropeanut,7,18,internal,https://alldimensions.fandom.com/wiki/Micropeanut,"{""Micropeanut"": 1}",1
38222,26,•,158,159,internal,https://alldimensions.fandom.com/wiki/%C2%B7,"{""•"": 1}",1
