article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
23298,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/77/Crispy-Fried-Egg-1_1b74faffbe944b0675f0e20473d3ad34.jpg/revision/latest?cb=20200331132152,"{""\n\n"": 1}",1
23298,1,The Pan,53,60,internal,https://alldimensions.fandom.com/wiki/The_Pan,"{""The Pan"": 1}",1
23298,1,That Human's Plate,74,92,internal,https://alldimensions.fandom.com/wiki/That_Human%27s_Plate,"{""That Human's Plate"": 1}",1
23298,1,..::..,123,129,internal,https://alldimensions.fandom.com/wiki/..::..,"{""..::.."": 1}",1
23298,1,..::..,123,129,internal,https://alldimensions.fandom.com/wiki/..::..,"{""..::.."": 1}",1
23298,1,Structural Defiers,296,314,internal,https://alldimensions.fandom.com/wiki/Structural_Defier,"{""Structural Defiers"": 1}",1
23298,3,The Other Room,71,85,internal,https://alldimensions.fandom.com/wiki/The_Other_Room,"{""The Other Room"": 1}",1
23298,4,[1],49,52,anchor,https://alldimensions.fandom.com#cite_note-1,"{""[1]"": 1}",1
23298,4,The Ants,113,121,internal,https://alldimensions.fandom.com/wiki/The_Ants,"{""The Ants"": 1}",1
23298,4,[2],138,141,anchor,https://alldimensions.fandom.com#cite_note-2,"{""[2]"": 1}",1
23298,5,User:08dravennew,46,62,internal,https://alldimensions.fandom.com/wiki/User:08dravennew,"{""User:08dravennew"": 1}",1
