article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
43378,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/1/1b/Eye.gif/revision/latest?cb=20190410180404,"{""\n\n"": 1}",1
43378,1,EUSI,151,155,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
43378,1,Finality Index,195,209,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
43378,1,The Ultremum of Totality,566,590,internal,https://alldimensions.fandom.com/wiki/The_Ultremum_of_Totality,"{""The Ultremum of Totality"": 1}",1
43378,1,The Hypremum of Power,603,624,internal,https://alldimensions.fandom.com/wiki/The_Hypremum_of_Power,"{""The Hypremum of Power"": 1}",1
43378,3,Hypremums,59,68,internal,https://alldimensions.fandom.com/wiki/Category:Hypremum,"{""Hypremums"": 1}",1
43378,3,Supremums,108,117,internal,https://alldimensions.fandom.com/wiki/Category:Supremum,"{""Supremums"": 1}",1
43378,4,Chaos,136,141,internal,https://alldimensions.fandom.com/wiki/The_Supremum_of_Chaos,"{""Chaos"": 1}",1
43378,5,The Hypremum of Power,102,123,internal,https://alldimensions.fandom.com/wiki/The_Hypremum_of_Power,"{""The Hypremum of Power"": 1}",1
43378,6,Veda Ismene,13,24,internal,https://alldimensions.fandom.com/wiki/Veda_Ismene,"{""Veda Ismene"": 1}",1
