article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
34847,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/a/a0/Screen_Shot_2020-04-27_at_1.59.25_PM.png/revision/latest?cb=20200427205947,"{""\n\n"": 1}",1
34847,2,Thegatus,181,189,internal,https://alldimensions.fandom.com/wiki/Thegatus,"{""Thegatus"": 1}",1
34847,4,The Ripoff,34,44,internal,https://alldimensions.fandom.com/wiki/The_Ripoff,"{""The Ripoff"": 1}",1
34847,7,The Ripoff,12,22,internal,https://alldimensions.fandom.com/wiki/The_Ripoff,"{""The Ripoff"": 1}",1
34847,7,Thegatus,40,48,internal,https://alldimensions.fandom.com/wiki/Thegatus,"{""Thegatus"": 1}",1
34847,7,Organismverse,65,78,internal,https://alldimensions.fandom.com/wiki/Organismverse,"{""Organismverse"": 1}",1
34847,7,Arthorpida,83,93,internal,https://alldimensions.fandom.com/wiki/Arthopida,"{""Arthorpida"": 1}",1
34847,7,Thegatus,40,48,internal,https://alldimensions.fandom.com/wiki/Thegatus,"{""Thegatus"": 1}",1
34847,7,The Facility,261,273,internal,https://alldimensions.fandom.com/wiki/The_Facility,"{""The Facility"": 1}",1
34847,7,The Ripoff,12,22,internal,https://alldimensions.fandom.com/wiki/The_Ripoff,"{""The Ripoff"": 1}",1
