article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
45250,1,The Circle,265,275,internal,https://alldimensions.fandom.com/wiki/The_Circle,"{""The Circle"": 1}",1
45250,1,Xenoverse,315,324,internal,https://alldimensions.fandom.com/wiki/Xenoverse,"{""Xenoverse"": 1}",1
45250,1,Hyperverse,326,336,internal,https://alldimensions.fandom.com/wiki/Hyperverse,"{""Hyperverse"": 1}",1
45250,1,The Point,338,347,internal,https://alldimensions.fandom.com/wiki/The_Point,"{""The Point"": 1}",1
45250,3,The Circle,83,93,internal,https://alldimensions.fandom.com/wiki/The_Circle,"{""The Circle"": 1}",1
45250,4,The Circle,0,10,internal,https://alldimensions.fandom.com/wiki/The_Circle,"{""The Circle"": 1}",1
45250,7,The Point,0,9,internal,https://alldimensions.fandom.com/wiki/The_Point,"{""The Point"": 1}",1
45250,8,Omniverse,0,9,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
45250,9,The Box,0,7,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
45250,10,Xenoverse,0,9,internal,https://alldimensions.fandom.com/wiki/Xenoverse,"{""Xenoverse"": 1}",1
45250,11,Hyperverse,0,10,internal,https://alldimensions.fandom.com/wiki/Hyperverse,"{""Hyperverse"": 1}",1
45250,12,Line,0,4,internal,https://alldimensions.fandom.com/wiki/Line,"{""Line"": 1}",1
