article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
36880,1,Box,25,28,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""Box"": 1}",1
36880,1,Omnipyramid,54,65,internal,https://alldimensions.fandom.com/wiki/Omnipyramid,"{""Omnipyramid"": 1}",1
36880,1,The Box,70,77,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
36880,1,Cetaverse,205,214,internal,https://alldimensions.fandom.com/wiki/Cetaverse,"{""Cetaverse"": 1}",1
36880,2,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/fa/Omnimarble.png/revision/latest?cb=20241211011704,"{""\n\n"": 1}",1
36880,2,Boxes,33,38,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""Boxes"": 1}",1
36880,2,Omnipyramid,149,160,internal,https://alldimensions.fandom.com/wiki/Omnipyramid,"{""Omnipyramid"": 1}",1
36880,2,Omnipyramids,221,233,internal,https://alldimensions.fandom.com/wiki/Omnipyramid,"{""Omnipyramids"": 1}",1
36880,2,Boxes,33,38,internal,https://alldimensions.fandom.com/wiki/Box,"{""Boxes"": 1}",1
36880,4,Omnipyramid,61,72,internal,https://alldimensions.fandom.com/wiki/Omnipyramid,"{""Omnipyramid"": 1}",1
36880,4,The Box,96,103,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
36880,4,The Box,96,103,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
36880,12,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/6/60/Omnipi.png/revision/latest?cb=20241211011827,"{""\n\n"": 1}",1
36880,12,Omnimarbles,40,51,internal,https://alldimensions.fandom.com/wiki/Omnimarble,"{""Omnimarbles"": 1}",1
36880,12,Omnifish,152,160,internal,https://alldimensions.fandom.com/wiki/Omnifish,"{""Omnifish"": 1}",1
36880,12,Omnimarbles,40,51,internal,https://alldimensions.fandom.com/wiki/Omnimarble,"{""Omnimarbles"": 1}",1
36880,21,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/b/b9/Fishie_f2ish.png/revision/latest?cb=20191012190145,"{""\n\n"": 1}",1
