article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
22930,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/8/81/Maxresdefault-3.jpg/revision/latest?cb=20200326170528,"{""\n\n"": 1}",1
22930,1,The Infinite Infinity,62,83,internal,https://alldimensions.fandom.com/wiki/The_Infinite_Infinity,"{""The Infinite Infinity"": 1}",1
22930,1,The Distant Reality,95,114,internal,https://alldimensions.fandom.com/wiki/The_Distant_Reality,"{""The Distant Reality"": 1}",1
22930,1,The Distant Reality,95,114,internal,https://alldimensions.fandom.com/wiki/The_Distant_Reality,"{""The Distant Reality"": 1}",1
22930,1,The Inaccessibleverse,156,177,internal,https://alldimensions.fandom.com/wiki/The_Inaccessibleverse,"{""The Inaccessibleverse"": 1}",1
22930,1,Never,180,185,internal,https://alldimensions.fandom.com/wiki/Never,"{""Never"": 1}",1
22930,1,Always,188,194,internal,https://alldimensions.fandom.com/wiki/Always,"{""Always"": 1}",1
22930,1,the Inaccessibleverse,432,453,internal,https://alldimensions.fandom.com/wiki/The_Inaccessibleverse,"{""the Inaccessibleverse"": 1}",1
22930,2,uqraek fiber,314,326,internal,https://alldimensions.fandom.com/wiki/Uqraek_fiber,"{""uqraek fiber"": 1}",1
22930,4,the Distant Reality,96,115,internal,https://alldimensions.fandom.com/wiki/The_Distant_Reality,"{""the Distant Reality"": 1}",1
