article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
47005,1,Coolverse,72,81,internal,https://alldimensions.fandom.com/wiki/Coolverse,"{""Coolverse"": 1}",1
47005,1,Coolverse,72,81,internal,https://alldimensions.fandom.com/wiki/Coolverse,"{""Coolverse"": 1}",1
47005,2,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/8/85/The_Purple_Complex.png/revision/latest?cb=20241006034835,"{""\n\n"": 1}",1
47005,3,Coolverse,340,349,internal,https://alldimensions.fandom.com/wiki/Coolverse,"{""Coolverse"": 1}",1
47005,4,Coolverse,13,22,internal,https://alldimensions.fandom.com/wiki/Coolverse,"{""Coolverse"": 1}",1
47005,4,Coolverse,13,22,internal,https://alldimensions.fandom.com/wiki/Coolverse,"{""Coolverse"": 1}",1
47005,4,Coolverse,13,22,internal,https://alldimensions.fandom.com/wiki/Coolverse,"{""Coolverse"": 1}",1
47005,5,Coolverse,195,204,internal,https://alldimensions.fandom.com/wiki/Coolverse,"{""Coolverse"": 1}",1
47005,6,Subspace dimension,100,118,external,https://en.wikipedia.org/wiki/Affine_space#Affine_subspaces_and_parallelism,"{""Subspace dimension"": 1}",1
47005,9,Uqraek fiber,25,37,internal,https://alldimensions.fandom.com/wiki/Uqraek_fiber,"{""Uqraek fiber"": 1}",1
