article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
36295,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/6/69/TRMM.gif/revision/latest?cb=20201225005524,"{""\n\n"": 1}",1
36295,1,Wekamultonic Geopamultons,69,94,internal,https://alldimensions.fandom.com/wiki/The_Wekamultonic_Geopamulton,"{""Wekamultonic Geopamultons"": 1}",1
36295,1,Megamejonic Megamejons,106,128,internal,https://alldimensions.fandom.com/wiki/The_Megamejonic_Megamejon,"{""Megamejonic Megamejons"": 1}",1
36295,1,LAIF,168,172,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
36295,1,the Megamejonic Megamejons,213,239,internal,https://alldimensions.fandom.com/wiki/The_Megamejonic_Megamejon,"{""the Megamejonic Megamejons"": 1}",1
36295,1,LAIF,168,172,internal,https://alldimensions.fandom.com/wiki/LAIF,"{""LAIF"": 1}",1
36295,2,Megamejonic Megamejon,8,29,internal,https://alldimensions.fandom.com/wiki/The_Megamejonic_Megamejon,"{""Megamejonic Megamejon"": 1}",1
36295,2,The Icosadakonic Meicosahendon,135,165,internal,https://alldimensions.fandom.com/wiki/The_Icosadakonic_Meicosahendon,"{""The Icosadakonic Meicosahendon"": 1}",1
36295,2,The Blue Icosadakonic Meicosahendon,176,211,internal,https://alldimensions.fandom.com/wiki/The_Blue_Icosadakonic_Meicosahendon,"{""The Blue Icosadakonic Meicosahendon"": 1}",1
36295,3,The Icosadakonic Meicosahendon,29,59,internal,https://alldimensions.fandom.com/wiki/The_Icosadakonic_Meicosahendon,"{""The Icosadakonic Meicosahendon"": 1}",1
36295,3,Primordium Delta,146,162,internal,https://alldimensions.fandom.com/wiki/Primordium_Delta,"{""Primordium Delta"": 1}",1
