article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
41831,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/0/09/Supercontainer.jpg/revision/latest?cb=20230120091349,"{""\n\n"": 1}",1
41831,1,EUSI,100,104,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
41831,1,Container,12,21,internal,https://alldimensions.fandom.com/wiki/The_container,"{""Container"": 1}",1
41831,1,The Mega Containers,382,401,internal,https://alldimensions.fandom.com/wiki/The_Mega_Container,"{""The Mega Containers"": 1}",1
41831,1,The containers,414,428,internal,https://alldimensions.fandom.com/wiki/The_container,"{""The containers"": 1}",1
41831,3,Container,324,333,internal,https://alldimensions.fandom.com/wiki/The_container,"{""Container"": 1}",1
41831,3,Mega Container,388,402,internal,https://alldimensions.fandom.com/wiki/The_Mega_Container,"{""Mega Container"": 1}",1
41831,3,Container,324,333,internal,https://alldimensions.fandom.com/wiki/The_container,"{""Container"": 1}",1
41831,4,Container,58,67,internal,https://alldimensions.fandom.com/wiki/The_container,"{""Container"": 1}",1
41831,4,The Container,54,67,internal,https://alldimensions.fandom.com/wiki/The_container,"{""The Container"": 1}",1
