article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
24980,3,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/d/db/The_Supremum_of_Limits.png/revision/latest?cb=20200410105343,"{""\n\n"": 1}",1
24980,3,EUSI,117,121,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
24980,3,Finality Index,127,141,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
24980,3,FOEI,146,150,internal,https://alldimensions.fandom.com/wiki/Fraction_of_Everything_Index,"{""FOEI"": 1}",1
24980,3,Supremums of Zero,510,527,internal,https://alldimensions.fandom.com/wiki/The_Supremum_of_Zero,"{""Supremums of Zero"": 1}",1
24980,3,Supremums of Noise,540,558,internal,https://alldimensions.fandom.com/wiki/The_Supremum_of_Noise,"{""Supremums of Noise"": 1}",1
24980,5,Grasslands,61,71,internal,https://alldimensions.fandom.com/wiki/Grasslands,"{""Grasslands"": 1}",1
24980,5,Berryverse,840,850,internal,https://alldimensions.fandom.com/wiki/Berryverse,"{""Berryverse"": 1}",1
24980,6,order function,197,211,internal,https://alldimensions.fandom.com/wiki/The_Supremum_of_Order,"{""order function"": 1}",1
24980,9,Realm,246,251,internal,https://alldimensions.fandom.com/wiki/Physical_Realm,"{""Realm"": 1}",1
24980,9,Yetmmud,418,425,internal,https://alldimensions.fandom.com/wiki/Yetmmud,"{""Yetmmud"": 1}",1
