article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
25132,2,rules,360,365,internal,https://alldimensions.fandom.com/wiki/ADWiki:Guidelines,"{""rules"": 1}",1
25132,3,Hwragnapki,0,10,internal,https://alldimensions.fandom.com/wiki/Hwragnapki,"{""Hwragnapki"": 1}",1
25132,4,Absolutely tiny uqraek fiber,0,28,internal,https://alldimensions.fandom.com/wiki/Absolutely_tiny_uqraek_fiber,"{""Absolutely tiny uqraek fiber"": 1}",1
25132,5,FireWater,0,9,internal,https://alldimensions.fandom.com/wiki/FireWater,"{""FireWater"": 1}",1
25132,6,Flarius,0,7,internal,https://alldimensions.fandom.com/wiki/Flarius,"{""Flarius"": 1}",1
25132,7,Aquarius,0,8,internal,https://alldimensions.fandom.com/wiki/Aquarius,"{""Aquarius"": 1}",1
25132,8,The Gamma Signal,0,16,internal,https://alldimensions.fandom.com/wiki/The_Gamma_Signal,"{""The Gamma Signal"": 1}",1
25132,9,Cosmic Savior,0,13,internal,https://alldimensions.fandom.com/wiki/Cosmic_Savior,"{""Cosmic Savior"": 1}",1
25132,10,The Entity,0,10,internal,https://alldimensions.fandom.com/wiki/The_Entity,"{""The Entity"": 1}",1
25132,11,Canadiaverse,0,12,internal,https://alldimensions.fandom.com/wiki/Canadiaverse,"{""Canadiaverse"": 1}",1
25132,12,Britverse,0,9,internal,https://alldimensions.fandom.com/wiki/Britverse,"{""Britverse"": 1}",1
25132,13,Xenontryptophyl,0,15,internal,https://alldimensions.fandom.com/wiki/Xenontryptophyl,"{""Xenontryptophyl"": 1}",1
25132,14,Multiparallelverse,0,18,internal,https://alldimensions.fandom.com/wiki/Multiparallelverse,"{""Multiparallelverse"": 1}",1
25132,15,Ameriverse,0,10,internal,https://alldimensions.fandom.com/wiki/Ameriverse,"{""Ameriverse"": 1}",1
25132,16,Pastenture,0,10,internal,https://alldimensions.fandom.com/wiki/Pastenture,"{""Pastenture"": 1}",1
25132,17,The Point of No Return,0,22,internal,https://alldimensions.fandom.com/wiki/The_Point_of_No_Return,"{""The Point of No Return"": 1}",1
