article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
20320,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/f5/The_Final_True_Box.png/revision/latest?cb=20191228103822,"{""\n\n"": 1}",1
20320,1,[1],56,59,anchor,https://alldimensions.fandom.com#cite_note-1,"{""[1]"": 1}",1
20320,1,Ultimate Box,81,93,internal,https://alldimensions.fandom.com/wiki/The_Ultimate_Box,"{""Ultimate Box"": 1}",1
20320,1,Terminal Boxes,197,211,internal,https://alldimensions.fandom.com/wiki/Terminal_Box,"{""Terminal Boxes"": 1}",1
20320,1,Ultimate Boxes,234,248,internal,https://alldimensions.fandom.com/wiki/The_Ultimate_Box,"{""Ultimate Boxes"": 1}",1
20320,1,Terminal Rhombicosidodecahedrons,253,285,internal,https://alldimensions.fandom.com/wiki/Terminal_Rhombicosidodecahedron,"{""Terminal Rhombicosidodecahedrons"": 1}",1
20320,3,Boxes,59,64,internal,https://alldimensions.fandom.com/wiki/Category:Box,"{""Boxes"": 1}",1
20320,3,verses,120,126,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verses"": 1}",1
20320,3,[2],140,143,anchor,https://alldimensions.fandom.com#cite_note-2,"{""[2]"": 1}",1
20320,3,plutfuseverse,211,224,internal,https://alldimensions.fandom.com/wiki/Plutfuseverse,"{""plutfuseverse"": 1}",1
20320,3,shirroverses,233,245,internal,https://alldimensions.fandom.com/wiki/Shirroverse,"{""shirroverses"": 1}",1
20320,3,verses,120,126,internal,https://alldimensions.fandom.com/wiki/%F0%92%90%ABverse,"{""verses"": 1}",1
20320,4,stars,23,28,internal,https://alldimensions.fandom.com/wiki/Star,"{""stars"": 1}",1
20320,4,planets,33,40,internal,https://alldimensions.fandom.com/wiki/Planet,"{""planets"": 1}",1
20320,6,matter,35,41,external,https://en.uncyclopedia.co/wiki/Quark,"{""matter"": 1}",1
20320,6,energy,46,52,external,https://en.wikipedia.org/wiki/Boson,"{""energy"": 1}",1
20320,6,electromagnetic and weak nuclear force,76,114,external,https://en.wikipedia.org/wiki/Electric_discharge,"{""electromagnetic and weak nuclear force"": 1}",1
20320,6,falling apart,205,218,external,https://what-if.xkcd.com/92/,"{""falling apart"": 1}",1
20320,6,keep you alive,280,294,external,https://en.wikipedia.org/wiki/Chemical_bond,"{""keep you alive"": 1}",1
20320,7,[3],15,18,anchor,https://alldimensions.fandom.com#cite_note-3,"{""[3]"": 1}",1
20320,10,[4],23,26,anchor,https://alldimensions.fandom.com#cite_note-4,"{""[4]"": 1}",1
20320,10,[5],148,151,anchor,https://alldimensions.fandom.com#cite_note-5,"{""[5]"": 1}",1
20320,10,Ultimate Box,377,389,internal,https://alldimensions.fandom.com/wiki/The_Ultimate_Box,"{""Ultimate Box"": 1}",1
20320,12,safespots,26,35,external,https://www.youtube.com/watch?v=0ZXM5L75h38,"{""safespots"": 1}",1
20320,12,[10],157,161,anchor,https://alldimensions.fandom.com#cite_note-10,"{""[10]"": 1}",1
20320,13,Archverse,9,18,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
20320,16,Le Jorino Area,0,14,internal,https://alldimensions.fandom.com/wiki/Le_Jorino_Area,"{""Le Jorino Area"": 1}",1
20320,16,Archverse,17,26,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
20320,16,Ultraverse,29,39,internal,https://alldimensions.fandom.com/wiki/Ultraverse,"{""Ultraverse"": 1}",1
20320,39,YellowMarkers1,0,14,internal,https://alldimensions.fandom.com/wiki/User:YellowMarkers1,"{""YellowMarkers1"": 1}",1
20320,41,Oofandfoo,0,9,internal,https://alldimensions.fandom.com/wiki/User:Oofandfoo,"{""Oofandfoo"": 1}",1
20320,44,Randomuser66,0,12,internal,https://alldimensions.fandom.com/wiki/User:Randomuser66,"{""Randomuser66"": 1}",1
