article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
48190,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/f/f3/Ultra_Sarper.jpg/revision/latest?cb=20241215130354,"{""\n\n"": 1}",1
48190,1,sarper,97,103,internal,https://alldimensions.fandom.com/wiki/The_sarper,"{""sarper"": 1}",1
48190,1,voidseconds,274,285,internal,https://alldimensions.fandom.com/wiki/Voidsecond,"{""voidseconds"": 1}",1
48190,1,The Giga Sarpers,386,402,internal,https://alldimensions.fandom.com/wiki/The_Giga_Sarper,"{""The Giga Sarpers"": 1}",1
48190,3,verse,39,44,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verse"": 1}",1
48190,3,sarper,52,58,internal,https://alldimensions.fandom.com/wiki/Category:The_Sarper_Chain,"{""sarper"": 1}",1
48190,3,chain,59,64,internal,https://alldimensions.fandom.com/wiki/Category:Chain,"{""chain"": 1}",1
48190,3,fractals,78,86,internal,https://alldimensions.fandom.com/wiki/Category:Fractal,"{""fractals"": 1}",1
48190,3,giga sarpers,127,139,internal,https://alldimensions.fandom.com/wiki/The_Giga_Sarper,"{""giga sarpers"": 1}",1
48190,5,lightverses,55,66,internal,https://alldimensions.fandom.com/wiki/Lightverse,"{""lightverses"": 1}",1
48190,5,LIG,160,163,internal,https://alldimensions.fandom.com/wiki/Lightness,"{""LIG"": 1}",1
48190,5,HT,163,165,internal,https://alldimensions.fandom.com/wiki/The_Lord_of_Light,"{""HT"": 1}",1
