article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
37146,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/7a/TheUltraUltaverseicon.png/revision/latest?cb=20210307153548,"{""\n\n"": 1}",1
37146,1,The Final Archverse,59,78,internal,https://alldimensions.fandom.com/wiki/The_Final_Archverse,"{""The Final Archverse"": 1}",1
37146,1,OYC,310,313,internal,https://alldimensions.fandom.com/wiki/OYC,"{""OYC"": 1}",1
37146,1,The Final Boxes,340,355,internal,https://alldimensions.fandom.com/wiki/The_Final_Box_(The_Extended_Hierarchy),"{""The Final Boxes"": 1}",1
37146,1,The Final Archverses,367,387,internal,https://alldimensions.fandom.com/wiki/The_Final_Archverse,"{""The Final Archverses"": 1}",1
37146,1,the Final Multiverses,389,410,internal,https://alldimensions.fandom.com/wiki/The_Final_Multiverse,"{""the Final Multiverses"": 1}",1
37146,1,Final Universes,412,427,internal,https://alldimensions.fandom.com/wiki/Final_Universe,"{""Final Universes"": 1}",1
37146,1,Caneverns,429,438,internal,https://alldimensions.fandom.com/wiki/Caneverns,"{""Caneverns"": 1}",1
37146,1,Ultraverses,452,463,internal,https://alldimensions.fandom.com/wiki/Ultraverse,"{""Ultraverses"": 1}",1
37146,1,the Final Archverses,514,534,internal,https://alldimensions.fandom.com/wiki/The_Final_Archverse,"{""the Final Archverses"": 1}",1
37146,1,Ultraverse,12,22,internal,https://alldimensions.fandom.com/wiki/Ultraverse,"{""Ultraverse"": 1}",1
37146,1,the Final Box,607,620,internal,https://alldimensions.fandom.com/wiki/The_Final_Box_(The_Extended_Hierarchy),"{""the Final Box"": 1}",1
37146,1,Box,350,353,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""Box"": 1}",1
37146,1,Ultraverse,12,22,internal,https://alldimensions.fandom.com/wiki/Ultraverse,"{""Ultraverse"": 1}",1
37146,2,Ultraverse,34,44,internal,https://alldimensions.fandom.com/wiki/Ultraverse,"{""Ultraverse"": 1}",1
37146,2,The Final Archverse,99,118,internal,https://alldimensions.fandom.com/wiki/The_Final_Archverse,"{""The Final Archverse"": 1}",1
37146,2,Archverse,109,118,internal,https://alldimensions.fandom.com/wiki/Archverse,"{""Archverse"": 1}",1
37146,2,The Final Multiverse,159,179,internal,https://alldimensions.fandom.com/wiki/The_Final_Multiverse,"{""The Final Multiverse"": 1}",1
37146,2,Multiverse,169,179,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverse"": 1}",1
37146,3,Ultraverse,27,37,internal,https://alldimensions.fandom.com/wiki/Ultraverse,"{""Ultraverse"": 1}",1
