article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
43380,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/2/2a/Ultremum.jpg/revision/latest?cb=20230115192941,"{""\n\n"": 1}",1
43380,1,EUSI,135,139,internal,https://alldimensions.fandom.com/wiki/Extended_Universe_Size_Index,"{""EUSI"": 1}",1
43380,1,Finality Index,179,193,internal,https://alldimensions.fandom.com/wiki/Finality_Index,"{""Finality Index"": 1}",1
43380,1,The Hypremum of Power,616,637,internal,https://alldimensions.fandom.com/wiki/The_Hypremum_of_Power,"{""The Hypremum of Power"": 1}",1
43380,1,The Hypremum of Unimaginability,639,670,internal,https://alldimensions.fandom.com/wiki/The_Hypremum_of_Unimaginability,"{""The Hypremum of Unimaginability"": 1}",1
43380,3,Hypremums,51,60,internal,https://alldimensions.fandom.com/wiki/Category:Hypremum,"{""Hypremums"": 1}",1
43380,3,Supremums,100,109,internal,https://alldimensions.fandom.com/wiki/Category:Supremum,"{""Supremums"": 1}",1
43380,3,Hypremums,51,60,internal,https://alldimensions.fandom.com/wiki/Category:Hypremum,"{""Hypremums"": 1}",1
43380,5,Tales of Infinity,15,32,internal,https://alldimensions.fandom.com/wiki/Tales_of_Infinity,"{""Tales of Infinity"": 1}",1
43380,6,Ocean,230,235,internal,https://alldimensions.fandom.com/wiki/The_Hypremum_of_Unimaginability,"{""Ocean"": 1}",1
43380,6,Landmass,303,311,internal,https://alldimensions.fandom.com/wiki/The_Hypremum_of_Power,"{""Landmass"": 1}",1
43380,6,Ocean,230,235,internal,https://alldimensions.fandom.com/wiki/The_Hypremum_of_Unimaginability,"{""Ocean"": 1}",1
43380,6,Ocean,230,235,internal,https://alldimensions.fandom.com/wiki/The_Hypremum_of_Unimaginability,"{""Ocean"": 1}",1
43380,6,Land,303,307,internal,https://alldimensions.fandom.com/wiki/The_Hypremum_of_Power,"{""Land"": 1}",1
43380,6,Land,303,307,internal,https://alldimensions.fandom.com/wiki/The_Hypremum_of_Power,"{""Land"": 1}",1
