article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
31422,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/9/95/20EABAC3-7E9A-4E38-A1C8-5D2DD32315D7.jpeg/revision/latest?cb=20200614012034,"{""\n\n"": 1}",1
31422,1,Omniverse,182,191,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
31422,2,Omniverse,109,118,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
31422,3,Omniverse,25,34,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
31422,4,Omniverse,72,81,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
31422,5,Omniverse,89,98,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
31422,5,Omniverse,89,98,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
31422,6,Omniverse,58,67,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
31422,6,Omniverse,58,67,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
31422,7,Omniverse,137,146,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
31422,7,Omniverses,289,299,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverses"": 1}",1
31422,10,Omniverse,111,120,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
