article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
45882,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/77/Jtoh_totw_but_universe_sized.png/revision/latest?cb=20240407174552,"{""\n\n"": 1}",1
45882,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/7/77/Thje_outside.png/revision/latest?cb=20240408112831,"{""\n\n"": 1}",1
45882,1,Biggernoseverse,154,169,internal,https://alldimensions.fandom.com/wiki/Biggernoseverse,"{""Biggernoseverse"": 1}",1
45882,1,In Observatorio,201,216,internal,https://alldimensions.fandom.com/wiki/In_Observatorio,"{""In Observatorio"": 1}",1
45882,1,Biggernoseverses,228,244,internal,https://alldimensions.fandom.com/wiki/Biggernoseverse,"{""Biggernoseverses"": 1}",1
45882,1,Ducks,246,251,internal,https://alldimensions.fandom.com/wiki/Ducks,"{""Ducks"": 1}",1
45882,1,In Observatorio,201,216,internal,https://alldimensions.fandom.com/wiki/In_Observatorio,"{""In Observatorio"": 1}",1
45882,1,Biggernoseverses,228,244,internal,https://alldimensions.fandom.com/wiki/User_blog:Nevenenkulus/Biggernoseverse,"{""Biggernoseverses"": 1}",1
45882,1,ducks,427,432,internal,https://alldimensions.fandom.com/wiki/Ducks,"{""ducks"": 1}",1
45882,1,including themselves,615,635,internal,https://alldimensions.fandom.com/wiki/Category:Berry_Paradox,"{""including themselves"": 1}",1
45882,2,sentient,83,91,internal,https://alldimensions.fandom.com/wiki/Category:Cosmic_entity,"{""sentient"": 1}",1
