article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
39234,1,Loweffortverse,415,429,internal,https://alldimensions.fandom.com/wiki/Loweffortverse,"{""Loweffortverse"": 1}",1
39234,1,Hexaprobability Orbital,504,527,internal,https://alldimensions.fandom.com/wiki/Hexaprobability_Orbital,"{""Hexaprobability Orbital"": 1}",1
39234,1,Loweffortverse,415,429,internal,https://alldimensions.fandom.com/wiki/Loweffortverse,"{""Loweffortverse"": 1}",1
39234,9,The Box,170,177,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
39234,10,Omnistructure 1,467,482,internal,https://alldimensions.fandom.com/wiki/Omnistructure_1,"{""Omnistructure 1"": 1}",1
39234,10,The Box,811,818,internal,https://alldimensions.fandom.com/wiki/The_Box,"{""The Box"": 1}",1
39234,10,"

",818,820,external,https://static.wikia.nocookie.net/alldimensions/images/3/38/Abstract-multicolor-fractals-patterns-artwork-triangles-fractal-art-2560x1440-wallpaper_wallpaperswa.com_65.jpg/revision/latest?cb=20190220165745,"{""\n\n"": 1}",1
39234,16,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/e/e0/Unknown_%281%29.png/revision/latest?cb=20200308214732,"{""\n\n"": 1}",1
39234,18,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/0/0d/1st_singularity_envelop.jpg/revision/latest?cb=20210402224527,"{""\n\n"": 1}",1
39234,19,Milky Way,166,175,internal,https://alldimensions.fandom.com/wiki/Milky_Way,"{""Milky Way"": 1}",1
