article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
45003,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/3/33/Nothing.png/revision/latest?cb=20210908032830,"{""\n\n"": 1}",1
45003,1,True Anti Logics,59,75,internal,https://alldimensions.fandom.com/wiki/Anti_Logic_(true),"{""True Anti Logics"": 1}",1
45003,1,Versehecks,77,87,internal,https://alldimensions.fandom.com/wiki/Verseheck,"{""Versehecks"": 1}",1
45003,1,H (-Ω),115,121,internal,https://alldimensions.fandom.com/wiki/Hyperdimension,"{""H (-Ω)"": 1}",1
45003,3,objects,15,22,internal,https://alldimensions.fandom.com/wiki/Yarron,"{""objects"": 1}",1
45003,3,nothing,60,67,internal,https://alldimensions.fandom.com/wiki/Nothing......,"{""nothing"": 1}",1
45003,6,Versehecks,34,44,internal,https://alldimensions.fandom.com/wiki/Verseheck,"{""Versehecks"": 1}",1
45003,12,Universal,4,13,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universal"": 1}",1
45003,12,Verses,14,20,internal,https://alldimensions.fandom.com/wiki/Verse,"{""Verses"": 1}",1
45003,25,Hierarchy Family,0,16,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""Hierarchy Family"": 1}",1
