article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
42831,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/0/09/Twenty.png.jpg/revision/latest?cb=20240725200351,"{""\n\n"": 1}",1
42831,1,Layers of  primidial godity space,155,188,internal,https://alldimensions.fandom.com/wiki/Layers_of_primidial_godity_space,"{""Layers of  primidial godity space"": 1}",1
42831,1,Twenty Ones,190,201,internal,https://alldimensions.fandom.com/wiki/Twenty_One,"{""Twenty Ones"": 1}",1
42831,1,Blanks,214,220,internal,https://alldimensions.fandom.com/wiki/Blank,"{""Blanks"": 1}",1
42831,1,20 Nineteens,222,234,internal,https://alldimensions.fandom.com/wiki/Nineteen,"{""20 Nineteens"": 1}",1
42831,3,yeb wakab kef-waf,26,43,internal,https://alldimensions.fandom.com/wiki/The_Pencil_Language,"{""yeb wakab kef-waf"": 1}",1
42831,3,blank,99,104,internal,https://alldimensions.fandom.com/wiki/Blank,"{""blank"": 1}",1
42831,3,EABAs,154,159,internal,https://alldimensions.fandom.com/wiki/Category:End-All-Be-All,"{""EABAs"": 1}",1
42831,4,Basic space,18,29,internal,https://alldimensions.fandom.com/wiki/Basic_space,"{""Basic space"": 1}",1
42831,4,Virvis,136,142,internal,https://alldimensions.fandom.com/wiki/Virvis,"{""Virvis"": 1}",1
42831,6,Hierarchical Tunnel,265,284,internal,https://alldimensions.fandom.com/wiki/Hierarchical_Tunnel,"{""Hierarchical Tunnel"": 1}",1
42831,6,Eleven Chain,297,309,internal,https://alldimensions.fandom.com/wiki/Category:Eleven_Chain,"{""Eleven Chain"": 1}",1
42831,6,Twenty One Chain,318,334,internal,https://alldimensions.fandom.com/wiki/Category:Twenty_One_Chain,"{""Twenty One Chain"": 1}",1
