article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
45456,1,universe,11,19,internal,https://alldimensions.fandom.com/wiki/Universe,"{""universe"": 1}",1
45456,1,Local Universe Group,35,55,internal,https://alldimensions.fandom.com/wiki/Local_Universe_Group,"{""Local Universe Group"": 1}",1
45456,1,Our Universe,92,104,internal,https://alldimensions.fandom.com/wiki/Our_Universe,"{""Our Universe"": 1}",1
45456,1,UNI-5039,113,121,internal,https://alldimensions.fandom.com/wiki/UNI-5039,"{""UNI-5039"": 1}",1
45456,1,Humanity,193,201,internal,https://alldimensions.fandom.com/wiki/Human,"{""Humanity"": 1}",1
45456,2,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/0/02/Universe-expanding-acceleration-1.jpg/revision/latest?cb=20180818180210,"{""\n\n"": 1}",1
45456,2,Local Universe Group,188,208,internal,https://alldimensions.fandom.com/wiki/Local_Universe_Group,"{""Local Universe Group"": 1}",1
45456,2,Multiverse,210,220,internal,https://alldimensions.fandom.com/wiki/Multiverse,"{""Multiverse"": 1}",1
45456,2,Galaxies,232,240,internal,https://alldimensions.fandom.com/wiki/Galaxy,"{""Galaxies"": 1}",1
45456,2,Milliverses,242,253,internal,https://alldimensions.fandom.com/wiki/Milliverse,"{""Milliverses"": 1}",1
45456,5,Kardashev Scale,88,103,internal,https://alldimensions.fandom.com/wiki/Kardashev_Scale,"{""Kardashev Scale"": 1}",1
45456,5,Sinari,110,116,internal,https://alldimensions.fandom.com/wiki/UNI-3/Sinari,"{""Sinari"": 1}",1
45456,6,superclusters,27,40,internal,https://alldimensions.fandom.com/wiki/Supercluster,"{""superclusters"": 1}",1
45456,6,milliverses,48,59,internal,https://alldimensions.fandom.com/wiki/Milliverse,"{""milliverses"": 1}",1
