article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
8121,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/8/84/Iradverse.jpeg/revision/latest?cb=20171003085110,"{""\n\n"": 1}",1
8121,1,Tredaverse,64,74,internal,https://alldimensions.fandom.com/wiki/Tredaverse,"{""Tredaverse"": 1}",1
8121,1,Jupiterverse,50,62,internal,https://alldimensions.fandom.com/wiki/Jupiterverse,"{""Jupiterverse"": 1}",1
8121,2,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/6/68/Jupiter.png/revision/latest?cb=20191008165812,"{""\n\n"": 1}",1
8121,2,Omniverse,52,61,internal,https://alldimensions.fandom.com/wiki/Omniverse,"{""Omniverse"": 1}",1
8121,2,Tredaverse,153,163,internal,https://alldimensions.fandom.com/wiki/Tredaverse,"{""Tredaverse"": 1}",1
8121,2,Sortaverse,371,381,internal,https://alldimensions.fandom.com/wiki/Sortaverse,"{""Sortaverse"": 1}",1
8121,2,Asimagoymaverses,433,449,internal,https://alldimensions.fandom.com/wiki/Asimagoymaverse,"{""Asimagoymaverses"": 1}",1
8121,2,Udekaverse,600,610,internal,https://alldimensions.fandom.com/wiki/Udekaverse,"{""Udekaverse"": 1}",1
8121,2,Tredaverse,153,163,internal,https://alldimensions.fandom.com/wiki/Tredaverse,"{""Tredaverse"": 1}",1
