article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
6094,1,Extended Divergent Archverses,12,41,internal,https://alldimensions.fandom.com/wiki/Extended_Divergent_Archverses,"{""Extended Divergent Archverses"": 1}",1
6094,1,"

",41,43,external,https://static.wikia.nocookie.net/alldimensions/images/6/68/VENDEKAVERSE.jpg/revision/latest?cb=20221230072818,"{""\n\n"": 1}",1
6094,1,Udekaverse,93,103,internal,https://alldimensions.fandom.com/wiki/Udekaverse,"{""Udekaverse"": 1}",1
6094,1,The Tre,105,112,internal,https://alldimensions.fandom.com/wiki/The_Tre,"{""The Tre"": 1}",1
6094,1,TREEVERSE,114,123,internal,https://alldimensions.fandom.com/wiki/TREEVERSE,"{""TREEVERSE"": 1}",1
6094,1,Quettaverses,135,147,internal,https://alldimensions.fandom.com/wiki/Quettaverse,"{""Quettaverses"": 1}",1
6094,3,Quettaverses,31,43,internal,https://alldimensions.fandom.com/wiki/Quettaverse,"{""Quettaverses"": 1}",1
6094,3,Universe,239,247,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universe"": 1}",1
6094,3,Quettaverses,31,43,internal,https://alldimensions.fandom.com/wiki/Quettaverse,"{""Quettaverses"": 1}",1
6094,5,Gravityverses,62,75,internal,https://alldimensions.fandom.com/wiki/Gravityverse,"{""Gravityverses"": 1}",1
6094,5,Nowhereverse,260,272,internal,https://alldimensions.fandom.com/wiki/Nowhereverse,"{""Nowhereverse"": 1}",1
6094,5,Universes,438,447,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universes"": 1}",1
6094,5,Extraverses,157,168,internal,https://alldimensions.fandom.com/wiki/Extraverse,"{""Extraverses"": 1}",1
6094,6,Gravityverses,204,217,internal,https://alldimensions.fandom.com/wiki/Gravityverse,"{""Gravityverses"": 1}",1
6094,7,Quettaverse,45,56,internal,https://alldimensions.fandom.com/wiki/Quettaverse,"{""Quettaverse"": 1}",1
