article_id,paragraph_id,link_text,start,end,link_type,resolved_url,text_dict,support
47052,1,"

",0,2,external,https://static.wikia.nocookie.net/alldimensions/images/0/04/Verseallomni.jpg/revision/latest?cb=20241020121750,"{""\n\n"": 1}",1
47052,1,Null-class,156,166,internal,https://alldimensions.fandom.com/wiki/The_Pre-Hierarchy,"{""Null-class"": 1}",1
47052,1,Verseomnis,252,262,internal,https://alldimensions.fandom.com/wiki/Verseomni,"{""Verseomnis"": 1}",1
47052,1,Allomniverses,291,304,internal,https://alldimensions.fandom.com/wiki/Allomniverse,"{""Allomniverses"": 1}",1
47052,1,ƨǝxoꓭ,317,322,internal,https://alldimensions.fandom.com/wiki/Xo%EA%93%AD_%C7%9D%CA%9CT,"{""ƨǝxoꓭ"": 1}",1
47052,1,Anti-Boxes,324,334,internal,https://alldimensions.fandom.com/wiki/Anti-Box,"{""Anti-Boxes"": 1}",1
47052,1,Versecetas,336,346,internal,https://alldimensions.fandom.com/wiki/Verseceta,"{""Versecetas"": 1}",1
47052,3,verse,26,31,internal,https://alldimensions.fandom.com/wiki/Verse,"{""verse"": 1}",1
47052,3,Allomniverse,59,71,internal,https://alldimensions.fandom.com/wiki/Allomniverse,"{""Allomniverse"": 1}",1
47052,3,verseomnis,108,118,internal,https://alldimensions.fandom.com/wiki/Verseomni,"{""verseomnis"": 1}",1
47052,3,versecetas,201,211,internal,https://alldimensions.fandom.com/wiki/Verseceta,"{""versecetas"": 1}",1
47052,10,Universal,4,13,internal,https://alldimensions.fandom.com/wiki/Universe,"{""Universal"": 1}",1
47052,10,Verses,14,20,internal,https://alldimensions.fandom.com/wiki/Verse,"{""Verses"": 1}",1
47052,23,Hierarchy Family,0,16,internal,https://alldimensions.fandom.com/wiki/The_Hierarchy_Hierarchy,"{""Hierarchy Family"": 1}",1
